# CREATED BY GENE DIAGNOSTICS TOOL on Sun Nov 18 23:21:34 2018
# diag: nrgsummary, run(s): act, time window: 0-9(1 steps), species: ions
# normalization: R_0
#
#  t          G_tot       Q_tot       P_tot     
  2.1988E+00 -3.1534E-16  2.3770E+02  1.0259E+01
  2.2137E+00  4.5166E-16  2.4330E+02  1.0494E+01
  2.2285E+00  8.0357E-17  2.4898E+02  1.0716E+01
  2.2434E+00  1.3428E-16  2.5470E+02  1.0925E+01
  2.2583E+00  3.8086E-16  2.6053E+02  1.1123E+01
  2.2730E+00 -2.2138E-16  2.6635E+02  1.1310E+01
  2.2871E+00  1.2951E-16  2.7205E+02  1.1482E+01
  2.3012E+00 -1.3638E-17  2.7781E+02  1.1649E+01
  2.3153E+00 -7.0853E-16  2.8368E+02  1.1812E+01
  2.3294E+00  4.6635E-16  2.8963E+02  1.1975E+01
  2.3435E+00  4.1309E-16  2.9571E+02  1.2138E+01
  2.3577E+00 -2.8552E-17  3.0189E+02  1.2302E+01
  2.3716E+00  2.8632E-16  3.0808E+02  1.2466E+01
  2.3850E+00 -4.3075E-16  3.1416E+02  1.2626E+01
  2.3984E+00  3.1467E-16  3.2035E+02  1.2787E+01
  2.4118E+00 -8.2974E-16  3.2664E+02  1.2949E+01
  2.4252E+00 -1.9280E-16  3.3306E+02  1.3112E+01
  2.4386E+00 -1.5401E-16  3.3957E+02  1.3275E+01
  2.4520E+00  5.8651E-17  3.4621E+02  1.3437E+01
  2.4654E+00 -1.2480E-16  3.5298E+02  1.3600E+01
  2.4788E+00 -7.6037E-16  3.5986E+02  1.3764E+01
  2.4922E+00 -2.1797E-16  3.6685E+02  1.3928E+01
  2.5056E+00 -3.3502E-16  3.7398E+02  1.4089E+01
  2.5190E+00 -1.0075E-16  3.8123E+02  1.4245E+01
  2.5324E+00 -5.7506E-16  3.8859E+02  1.4391E+01
  2.5458E+00 -4.7014E-16  3.9608E+02  1.4526E+01
  2.5592E+00 -2.2307E-16  4.0370E+02  1.4646E+01
  2.5726E+00  4.7674E-16  4.1141E+02  1.4752E+01
  2.5860E+00 -2.5909E-16  4.1925E+02  1.4844E+01
  2.5994E+00  5.3926E-17  4.2722E+02  1.4923E+01
  2.6128E+00  4.9979E-16  4.3530E+02  1.4994E+01
  2.6262E+00  8.9432E-16  4.4352E+02  1.5060E+01
  2.6396E+00  1.7667E-16  4.5187E+02  1.5125E+01
  2.6530E+00 -3.0435E-16  4.6037E+02  1.5192E+01
  2.6657E+00 -1.1005E-15  4.6862E+02  1.5260E+01
  2.6785E+00  1.0551E-15  4.7696E+02  1.5332E+01
