# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:16:34 2019
# diag: fluxspectra, run(s): act, time window: 0-1284.5728(323 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds036/ITGa_NL/omt3/
# normalization: L_T,ions
#
# Q*dVdx =   4.9102E+01 MW
# G*dVdx =  -1.6090E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  1.6827E+00  3.3979E-14  1.9721E-04
  1.6971E+00 -2.8185E-14  1.9121E-04
  1.7115E+00  3.1596E-14  1.8901E-04
  1.7259E+00  2.9695E-15  1.8586E-04
  1.7403E+00  1.4211E-14  1.7959E-04
  1.7546E+00  9.8600E-15  1.7531E-04
  1.7690E+00  9.0555E-15  1.7177E-04
  1.7834E+00 -8.6826E-15  1.6901E-04
  1.7978E+00  5.1827E-16  1.6526E-04
  1.8122E+00 -2.5832E-14  1.6106E-04
  1.8265E+00  1.8802E-14  1.5891E-04
  1.8409E+00 -9.1544E-15  1.5387E-04
  1.8553E+00  2.2395E-14  1.5254E-04
  1.8697E+00  2.3053E-14  1.4885E-04
  1.8841E+00  6.7978E-15  1.4471E-04
  1.8985E+00 -1.6275E-14  1.4307E-04
  1.9128E+00 -3.8092E-14  1.4102E-04
  1.9272E+00 -6.7470E-15  1.3869E-04
  1.9416E+00  1.3016E-14  1.3567E-04
  1.9560E+00  1.1486E-14  1.3128E-04
  1.9704E+00  1.2977E-14  1.3091E-04
  1.9848E+00 -7.7121E-15  1.2748E-04
  1.9991E+00 -6.7339E-15  1.2541E-04
  2.0135E+00  1.3353E-14  1.2374E-04
  2.0279E+00  8.9472E-15  1.2078E-04
  2.0423E+00 -3.3199E-15  1.1731E-04
  2.0567E+00 -4.1099E-15  1.1584E-04
  2.0710E+00  5.1802E-15  1.1414E-04
  2.0854E+00 -7.9186E-16  1.1231E-04
  2.0998E+00  1.8027E-15  1.1053E-04
  2.1142E+00 -1.0466E-14  1.0752E-04
  2.1286E+00  1.1784E-14  1.0579E-04
  2.1430E+00  2.0192E-14  1.0425E-04
  2.1573E+00 -9.0133E-15  1.0165E-04
  2.1717E+00  6.4321E-16  9.9655E-05
  2.1861E+00  7.1547E-15  9.7600E-05
  2.2005E+00  5.6402E-15  9.7836E-05
  2.2149E+00 -1.1750E-14  9.4197E-05
  2.2293E+00 -1.0198E-14  9.3071E-05
  2.2436E+00  6.3451E-15  9.0725E-05
  2.2580E+00  4.8617E-15  8.9934E-05
  2.2724E+00 -1.4735E-15  8.7124E-05
  2.2868E+00 -5.5769E-15  8.6349E-05
  2.3012E+00  9.0315E-15  8.4579E-05
  2.3155E+00  1.9465E-15  8.3046E-05
  2.3299E+00  3.2761E-15  8.1157E-05
  2.3443E+00  5.2309E-15  7.9577E-05
  2.3587E+00 -1.1292E-14  7.8320E-05
  2.3731E+00  9.8714E-15  7.6881E-05
  2.3875E+00 -1.0384E-14  7.5493E-05
  2.4018E+00 -3.0940E-15  7.4218E-05
  2.4162E+00 -1.3357E-15  7.2516E-05
  2.4306E+00  1.4337E-14  7.0824E-05
  2.4450E+00 -5.5415E-16  6.9789E-05
  2.4594E+00  8.3559E-15  6.8217E-05
  2.4738E+00  2.4792E-15  6.7790E-05
  2.4881E+00 -9.3688E-16  6.6317E-05
  2.5025E+00 -1.0968E-15  6.5427E-05
  2.5169E+00 -1.2299E-14  6.4767E-05
  2.5313E+00 -5.4989E-15  6.2780E-05
  2.5457E+00 -7.7822E-15  6.1855E-05
  2.5600E+00  9.5176E-15  6.0469E-05
  2.5744E+00  4.8865E-15  5.9865E-05
  2.5888E+00 -6.1737E-15  5.8195E-05
  2.6032E+00 -2.6301E-15  5.7829E-05
  2.6176E+00 -9.9025E-15  5.5930E-05
  2.6320E+00 -8.0087E-15  5.5456E-05
  2.6463E+00  6.9482E-15  5.5653E-05
  2.6607E+00 -9.1048E-15  5.2695E-05
  2.6751E+00 -7.5763E-15  5.3203E-05
  2.6895E+00  5.9993E-15  5.2282E-05
  2.7039E+00 -3.0459E-15  5.1652E-05
  2.7183E+00 -1.4062E-16  5.0691E-05
  2.7326E+00 -3.8942E-16  5.0355E-05
  2.7470E+00 -4.9309E-15  4.9607E-05
  2.7614E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02  7.1894E-15  9.7873E-03
  1.0000E-01  1.7706E-13  2.3273E-02
  1.5000E-01  5.1686E-14  3.3517E-02
  2.0000E-01 -3.1763E-13  4.7550E-02
  2.5000E-01 -4.4450E-14  5.5657E-02
  3.0000E-01  1.6726E-13  6.5347E-02
  3.5000E-01  1.0879E-12  7.7005E-02
  4.0000E-01  4.7774E-13  8.5680E-02
  4.5000E-01 -8.4954E-13  8.8618E-02
  5.0000E-01  1.0745E-12  9.5401E-02
  5.5000E-01  7.7828E-13  9.1014E-02
  6.0000E-01 -1.5215E-12  8.6824E-02
  6.5000E-01  9.1644E-13  6.7305E-02
  7.0000E-01 -6.0490E-13  5.4420E-02
  7.5000E-01 -1.7788E-12  4.3783E-02
  8.0000E-01 -6.0830E-13  3.3705E-02
  8.5000E-01 -9.1442E-13  2.6212E-02
  9.0000E-01  9.6939E-14  2.0216E-02
  9.5000E-01 -9.6704E-14  1.6577E-02
  1.0000E+00  4.6033E-13  1.3327E-02
  1.0500E+00  3.0832E-13  1.0957E-02
  1.1000E+00  3.9604E-13  9.0905E-03
  1.1500E+00  1.9987E-13  7.6078E-03
  1.2000E+00 -4.6854E-13  6.6415E-03
  1.2500E+00 -1.6519E-14  5.7586E-03
  1.3000E+00  3.1932E-13  5.1268E-03
  1.3500E+00  1.2545E-13  4.5249E-03
  1.4000E+00 -3.0404E-13  4.0329E-03
