# CREATED BY GENE DIAGNOSTICS TOOL on Wed Aug  1 11:48:41 2018
# diag: fluxprof, run(s): act, time window: 0-500(79 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt1/
# normalization: L_ref=1.65m
#
#  x/a        G_es,p      Q_es,p      Q*dVdx/MW 
 -7.0588E+01  3.1214E-19  5.2307E-01  2.8051E-01
 -6.9909E+01  3.5772E-20  5.2578E-01  2.8196E-01
 -6.9231E+01  2.7064E-19  5.3013E-01  2.8429E-01
 -6.8552E+01 -2.0695E-21  5.3806E-01  2.8854E-01
 -6.7873E+01  5.1127E-20  5.4830E-01  2.9403E-01
 -6.7194E+01  1.5659E-19  5.5708E-01  2.9874E-01
 -6.6516E+01 -3.7719E-19  5.6144E-01  3.0108E-01
 -6.5837E+01  1.3267E-19  5.6035E-01  3.0050E-01
 -6.5158E+01 -3.5179E-19  5.5518E-01  2.9772E-01
 -6.4480E+01  6.8633E-20  5.4798E-01  2.9386E-01
 -6.3801E+01  1.5475E-19  5.4121E-01  2.9023E-01
 -6.3122E+01 -1.1965E-19  5.3596E-01  2.8742E-01
 -6.2443E+01 -1.1715E-20  5.3127E-01  2.8490E-01
 -6.1765E+01 -1.1047E-19  5.2370E-01  2.8084E-01
 -6.1086E+01 -3.7788E-19  5.1165E-01  2.7438E-01
 -6.0407E+01 -4.9271E-20  4.9492E-01  2.6541E-01
 -5.9728E+01 -2.0019E-19  4.7626E-01  2.5540E-01
 -5.9050E+01 -1.3819E-19  4.6066E-01  2.4704E-01
 -5.8371E+01 -1.8795E-19  4.5207E-01  2.4243E-01
 -5.7692E+01 -3.0684E-19  4.5108E-01  2.4190E-01
 -5.7013E+01 -5.8765E-19  4.5910E-01  2.4620E-01
 -5.6335E+01 -2.5775E-19  4.7476E-01  2.5460E-01
 -5.5656E+01 -2.3214E-19  4.9518E-01  2.6555E-01
 -5.4977E+01 -1.0736E-19  5.1889E-01  2.7827E-01
 -5.4299E+01 -3.9406E-19  5.4377E-01  2.9161E-01
 -5.3620E+01 -2.2142E-19  5.6545E-01  3.0323E-01
 -5.2941E+01 -3.0520E-19  5.8039E-01  3.1125E-01
 -5.2262E+01 -4.4370E-20  5.8805E-01  3.1535E-01
 -5.1584E+01 -3.4880E-20  5.8922E-01  3.1598E-01
 -5.0905E+01  2.9169E-20  5.8271E-01  3.1249E-01
 -5.0226E+01 -2.0886E-19  5.6961E-01  3.0546E-01
 -4.9547E+01 -1.7507E-19  5.5258E-01  2.9633E-01
 -4.8869E+01 -4.0575E-19  5.3542E-01  2.8713E-01
 -4.8190E+01 -1.7661E-19  5.2149E-01  2.7966E-01
 -4.7511E+01  1.2155E-19  5.1311E-01  2.7516E-01
 -4.6832E+01 -4.3829E-19  5.0912E-01  2.7303E-01
 -4.6154E+01 -4.8809E-19  5.0878E-01  2.7284E-01
 -4.5475E+01 -2.7274E-19  5.1146E-01  2.7428E-01
 -4.4796E+01  1.0271E-19  5.1792E-01  2.7775E-01
 -4.4118E+01 -6.8098E-20  5.2868E-01  2.8351E-01
 -4.3439E+01 -3.4336E-19  5.4133E-01  2.9030E-01
 -4.2760E+01  7.4160E-20  5.5294E-01  2.9653E-01
 -4.2081E+01 -1.4979E-19  5.6122E-01  3.0096E-01
 -4.1403E+01  4.9353E-20  5.6596E-01  3.0351E-01
 -4.0724E+01 -8.6825E-20  5.6889E-01  3.0508E-01
 -4.0045E+01  9.3092E-20  5.7416E-01  3.0790E-01
 -3.9366E+01 -3.4604E-19  5.8059E-01  3.1135E-01
 -3.8688E+01 -2.7901E-19  5.8361E-01  3.1297E-01
 -3.8009E+01  3.2119E-19  5.7869E-01  3.1033E-01
 -3.7330E+01 -2.8759E-19  5.6476E-01  3.0286E-01
 -3.6652E+01 -2.9968E-19  5.4554E-01  2.9255E-01
 -3.5973E+01 -3.8723E-19  5.2835E-01  2.8333E-01
 -3.5294E+01  2.6013E-19  5.1975E-01  2.7872E-01
 -3.4615E+01  5.9670E-20  5.2161E-01  2.7972E-01
 -3.3937E+01 -1.8083E-19  5.3131E-01  2.8492E-01
 -3.3258E+01  4.8957E-20  5.4205E-01  2.9068E-01
 -3.2579E+01 -1.7403E-19  5.4648E-01  2.9306E-01
 -3.1900E+01 -4.5359E-20  5.4182E-01  2.9056E-01
 -3.1222E+01 -3.0225E-19  5.3172E-01  2.8514E-01
 -3.0543E+01 -3.6126E-19  5.2145E-01  2.7964E-01
 -2.9864E+01  1.6263E-19  5.1649E-01  2.7698E-01
 -2.9185E+01 -2.2844E-19  5.2048E-01  2.7912E-01
 -2.8507E+01  1.5687E-19  5.3060E-01  2.8454E-01
 -2.7828E+01  1.7745E-19  5.4085E-01  2.9004E-01
 -2.7149E+01  3.2869E-19  5.4669E-01  2.9317E-01
 -2.6471E+01  3.5721E-19  5.4575E-01  2.9267E-01
 -2.5792E+01  1.5004E-19  5.4062E-01  2.8991E-01
 -2.5113E+01  2.1952E-19  5.3472E-01  2.8675E-01
 -2.4434E+01  2.1237E-19  5.3168E-01  2.8512E-01
 -2.3756E+01 -9.5987E-20  5.3263E-01  2.8563E-01
 -2.3077E+01 -1.4920E-20  5.3535E-01  2.8709E-01
 -2.2398E+01  4.1409E-20  5.3869E-01  2.8888E-01
 -2.1719E+01 -9.4926E-21  5.4058E-01  2.8990E-01
 -2.1041E+01 -1.8350E-19  5.3870E-01  2.8889E-01
 -2.0362E+01 -5.6967E-20  5.3196E-01  2.8527E-01
 -1.9683E+01 -6.7836E-20  5.2192E-01  2.7989E-01
 -1.9004E+01 -1.5375E-19  5.1003E-01  2.7351E-01
 -1.8326E+01  9.7030E-20  4.9968E-01  2.6796E-01
 -1.7647E+01 -1.5395E-19  4.9330E-01  2.6454E-01
 -1.6968E+01 -2.9400E-19  4.9240E-01  2.6406E-01
 -1.6290E+01 -1.4466E-19  4.9720E-01  2.6663E-01
 -1.5611E+01 -1.4161E-19  5.0553E-01  2.7110E-01
 -1.4932E+01  5.3924E-20  5.1263E-01  2.7491E-01
 -1.4253E+01 -1.5866E-19  5.1375E-01  2.7551E-01
 -1.3575E+01  2.0998E-20  5.0657E-01  2.7166E-01
 -1.2896E+01 -1.8228E-19  4.9344E-01  2.6461E-01
 -1.2217E+01  4.4454E-21  4.7744E-01  2.5603E-01
 -1.1538E+01  2.3081E-19  4.6216E-01  2.4784E-01
 -1.0860E+01  6.0497E-19  4.5083E-01  2.4177E-01
 -1.0181E+01  3.3715E-19  4.4327E-01  2.3771E-01
 -9.5023E+00  2.5209E-19  4.3783E-01  2.3480E-01
 -8.8235E+00  4.6946E-19  4.3287E-01  2.3213E-01
 -8.1448E+00  2.9640E-19  4.2721E-01  2.2910E-01
 -7.4660E+00  5.1985E-19  4.2036E-01  2.2542E-01
 -6.7873E+00  5.3505E-20  4.1354E-01  2.2177E-01
 -6.1086E+00  2.5564E-19  4.0895E-01  2.1931E-01
 -5.4299E+00  1.2118E-19  4.0817E-01  2.1889E-01
 -4.7511E+00  1.4405E-19  4.1064E-01  2.2021E-01
 -4.0724E+00 -1.4822E-20  4.1430E-01  2.2218E-01
 -3.3937E+00 -4.2960E-20  4.1714E-01  2.2370E-01
 -2.7149E+00 -1.2839E-19  4.1982E-01  2.2514E-01
 -2.0362E+00 -2.0542E-19  4.2570E-01  2.2829E-01
 -1.3575E+00 -2.3319E-19  4.3764E-01  2.3469E-01
 -6.7874E-01 -4.5367E-20  4.5395E-01  2.4344E-01
  0.0000E+00  1.0892E-19  4.7141E-01  2.5280E-01
  6.7873E-01 -8.8081E-20  4.8513E-01  2.6016E-01
  1.3575E+00  1.0414E-19  4.9088E-01  2.6324E-01
  2.0362E+00 -2.3985E-19  4.8823E-01  2.6182E-01
  2.7149E+00 -1.4186E-19  4.7990E-01  2.5735E-01
  3.3937E+00 -1.6890E-19  4.7035E-01  2.5223E-01
  4.0724E+00 -6.4454E-20  4.6283E-01  2.4820E-01
  4.7511E+00  8.2557E-20  4.5997E-01  2.4667E-01
