# CREATED BY GENE DIAGNOSTICS TOOL on Wed Aug  1 11:48:41 2018
# diag: fluxprof, run(s): act, time window: 0-500(79 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt1/
# normalization: L_ref=1.65m
#
#  x/a        G_es,p      Q_es,p      Q*dVdx/MW 
  1.5000E-01  1.6679E-22  6.1477E-05
  2.0000E-01  1.0635E-22  7.0936E-05
  2.5000E-01 -3.1125E-22  1.0571E-04
  3.0000E-01  3.9306E-22  9.7282E-05
  3.5000E-01  3.1453E-22  7.1097E-05
  4.0000E-01 -3.1290E-22  7.6525E-05
  4.5000E-01 -2.8089E-22  5.9542E-05
  5.0000E-01  1.3971E-22  5.3004E-05
  5.5000E-01 -1.1146E-22  4.3072E-05
  6.0000E-01  7.9153E-23  2.6621E-05
  6.5000E-01 -8.2641E-23  2.1792E-05
  7.0000E-01  9.8538E-23  1.5539E-05
  7.5000E-01  3.1720E-23  1.1764E-05
  8.0000E-01 -2.2656E-22  9.0850E-06
  8.5000E-01  5.4818E-23  6.3561E-06
  9.0000E-01  6.7281E-23  5.5540E-06
  9.5000E-01  7.5836E-23  4.5171E-06
  1.0000E+00 -2.9224E-23  3.6513E-06
  1.0500E+00  4.5998E-24  2.9925E-06
  1.1000E+00 -1.8239E-23  2.2154E-06
  1.1500E+00 -4.1086E-23  2.1465E-06
  1.2000E+00  2.1936E-23  1.6765E-06
  1.2500E+00  4.5310E-23  1.4696E-06
  1.3000E+00  6.5440E-23  1.1781E-06
  1.3500E+00  1.8962E-23  1.1160E-06
  1.4000E+00  4.8043E-24  9.2809E-07
  1.4500E+00  1.4222E-23  8.1890E-07
  1.5000E+00  1.5233E-23  6.5055E-07
  1.5500E+00  3.2836E-24  6.3887E-07
  1.6000E+00  5.1796E-24  4.9592E-07
  1.6500E+00  9.2842E-24  4.2586E-07
  1.7000E+00 -9.2645E-24  4.1200E-07
  1.7500E+00 -9.3394E-24  4.2371E-07
  1.8000E+00  8.0792E-24  3.5016E-07
  1.8500E+00  1.6910E-24  2.8608E-07
  1.9000E+00  1.5729E-24  2.7045E-07
  1.9500E+00 -4.0346E-24  2.1904E-07
  2.0000E+00 -4.2665E-24  2.3058E-07
  2.0500E+00  7.3512E-24  1.8585E-07
  2.1000E+00 -6.4208E-24  1.7003E-07
  2.1500E+00  1.2532E-24  1.9247E-07
  2.2000E+00 -8.3308E-24  1.3910E-07
  2.2500E+00  3.9829E-24  1.3348E-07
  2.3000E+00  2.9951E-25  1.1957E-07
  2.3500E+00  5.3791E-25  9.9397E-08
  2.4000E+00 -4.0321E-24  8.4919E-08
  2.4500E+00  2.1995E-24  1.1054E-07
  2.5000E+00  4.1559E-24  8.4428E-08
  2.5500E+00  4.1801E-25  8.3845E-08
  2.6000E+00 -5.3626E-25  7.8485E-08
  2.6500E+00  8.5440E-25  8.6497E-08
  2.7000E+00  3.8311E-24  5.7861E-08
  2.7500E+00 -3.4919E-24  5.7147E-08
  2.8000E+00  1.4839E-24  7.5380E-08
  2.8500E+00 -5.8804E-24  7.8373E-08
  2.9000E+00 -2.4233E-24  5.2378E-08
  2.9500E+00  4.4703E-26  5.8160E-08
  3.0000E+00 -2.1965E-25  3.8959E-08
  3.0500E+00  3.4494E-24  4.9531E-08
  3.1000E+00 -8.7816E-25  5.1329E-08
  3.1500E+00 -2.0302E-24  3.7146E-08
