# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:02:27 2019
# diag: zprofile, run(s): act, time window: 0-1704.0453(320 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt3/
# normalization: L_T,ions
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
  1.2272E+00  0.0000E+00  2.4245E+00  2.4245E+00
  1.2763E+00  0.0000E+00  2.4020E+00  2.4020E+00
  1.3254E+00  0.0000E+00  2.3766E+00  2.3766E+00
  1.3744E+00  0.0000E+00  2.3525E+00  2.3525E+00
  1.4235E+00  0.0000E+00  2.3240E+00  2.3240E+00
  1.4726E+00  0.0000E+00  2.3018E+00  2.3018E+00
  1.5217E+00  0.0000E+00  2.2795E+00  2.2795E+00
  1.5708E+00  0.0000E+00  2.2680E+00  2.2680E+00
  1.6199E+00  0.0000E+00  2.2579E+00  2.2579E+00
  1.6690E+00  0.0000E+00  2.2473E+00  2.2473E+00
  1.7181E+00  0.0000E+00  2.2391E+00  2.2391E+00
  1.7671E+00  0.0000E+00  2.2234E+00  2.2234E+00
  1.8162E+00  0.0000E+00  2.2174E+00  2.2174E+00
  1.8653E+00  0.0000E+00  2.2128E+00  2.2128E+00
  1.9144E+00  0.0000E+00  2.2060E+00  2.2060E+00
  1.9635E+00  0.0000E+00  2.1981E+00  2.1981E+00
  2.0126E+00  0.0000E+00  2.1917E+00  2.1917E+00
  2.0617E+00  0.0000E+00  2.1836E+00  2.1836E+00
  2.1108E+00  0.0000E+00  2.1769E+00  2.1769E+00
  2.1598E+00  0.0000E+00  2.1717E+00  2.1717E+00
  2.2089E+00  0.0000E+00  2.1658E+00  2.1658E+00
  2.2580E+00  0.0000E+00  2.1626E+00  2.1626E+00
  2.3071E+00  0.0000E+00  2.1601E+00  2.1601E+00
  2.3562E+00  0.0000E+00  2.1608E+00  2.1608E+00
  2.4053E+00  0.0000E+00  2.1594E+00  2.1594E+00
  2.4544E+00  0.0000E+00  2.1594E+00  2.1594E+00
  2.5035E+00  0.0000E+00  2.1549E+00  2.1549E+00
  2.5525E+00  0.0000E+00  2.1518E+00  2.1518E+00
  2.6016E+00  0.0000E+00  2.1462E+00  2.1462E+00
  2.6507E+00  0.0000E+00  2.1403E+00  2.1403E+00
  2.6998E+00  0.0000E+00  2.1377E+00  2.1377E+00
  2.7489E+00  0.0000E+00  2.1361E+00  2.1361E+00
  2.7980E+00  0.0000E+00  2.1403E+00  2.1403E+00
  2.8471E+00  0.0000E+00  2.1407E+00  2.1407E+00
  2.8962E+00  0.0000E+00  2.1461E+00  2.1461E+00
  2.9452E+00  0.0000E+00  2.1470E+00  2.1470E+00
  2.9943E+00  0.0000E+00  2.1462E+00  2.1462E+00
  3.0434E+00  0.0000E+00  2.1383E+00  2.1383E+00
  3.0925E+00  0.0000E+00  2.1455E+00  2.1455E+00
