# CREATED BY GENE DIAGNOSTICS TOOL on Tue Oct 30 14:37:29 2018
# diag: frequency, run(s): act, time window: 0-260(72 steps)
# normalization: L_ref=5.5306m
#
# Nyquist frequency: 0.515158
#  ky         gamma       omega     
  5.0000E-02 -3.0621E-03  1.6113E-02
  1.0000E-01 -1.6061E-05  8.4113E-03
  1.5000E-01  1.8761E-03 -4.3991E-02
  2.0000E-01  3.1507E-03  1.9778E-02
  2.5000E-01  4.0386E-03  1.2759E-02
  3.0000E-01  4.6930E-03 -2.3139E-02
  3.5000E-01  4.7017E-03  2.0425E-02
  4.0000E-01  3.8918E-03 -2.4642E-02
  4.5000E-01  4.8857E-03 -2.5164E-02
  5.0000E-01  5.5677E-03 -8.8026E-03
  5.5000E-01  4.8944E-03 -5.0558E-03
  6.0000E-01  4.8484E-03  1.3008E-02
  6.5000E-01  5.4567E-03  1.0430E-02
  7.0000E-01  6.4265E-03 -5.3344E-03
  7.5000E-01  5.6245E-03  7.6091E-03
  8.0000E-01  6.7178E-03  6.7949E-03
  8.5000E-01  5.9774E-03 -2.6438E-03
  9.0000E-01  6.2457E-03  1.8378E-03
  9.5000E-01  5.8026E-03 -8.5278E-03
  1.0000E+00  5.9351E-03 -1.0861E-02
  1.0500E+00  7.7371E-03 -6.1830E-03
  1.1000E+00  6.3300E-03 -2.6947E-03
  1.1500E+00  7.4955E-03 -2.1229E-03
  1.2000E+00  7.3861E-03 -2.8419E-05
  1.2500E+00  6.5561E-03 -2.5534E-03
  1.3000E+00  6.9571E-03 -2.0598E-03
  1.3500E+00  7.7907E-03 -3.5456E-03
  1.4000E+00  8.1542E-03  9.8178E-04
  1.4500E+00  6.0200E-03  4.4578E-03
  1.5000E+00  8.0565E-03  3.0576E-03
  1.5500E+00  8.0115E-03  1.7644E-03
  1.6000E+00  7.8630E-03  2.2545E-03
  1.6500E+00  8.2118E-03  2.7769E-04
  1.7000E+00  8.4968E-03  3.2319E-03
  1.7500E+00  8.2153E-03  2.9111E-03
  1.8000E+00  7.8551E-03  5.5682E-04
  1.8500E+00  7.9312E-03 -5.3966E-03
  1.9000E+00  8.0768E-03 -3.8801E-03
  1.9500E+00  8.2208E-03 -2.1514E-03
  2.0000E+00  8.1410E-03  8.7219E-04
  2.0500E+00  8.4805E-03 -2.7033E-03
  2.1000E+00  8.1264E-03 -1.2860E-03
  2.1500E+00  9.1160E-03 -1.5190E-03
  2.2000E+00  8.6978E-03 -2.6194E-03
  2.2500E+00  8.2934E-03 -3.4450E-04
  2.3000E+00  9.2331E-03  1.5784E-04
  2.3500E+00  8.7268E-03 -1.3257E-04
  2.4000E+00  9.9593E-03 -1.2478E-03
  2.4500E+00  9.1853E-03 -1.2150E-03
  2.5000E+00  9.6925E-03 -1.9412E-03
  2.5500E+00  1.0207E-02  2.6039E-04
  2.6000E+00  1.0913E-02  6.4035E-04
  2.6500E+00  1.0540E-02  5.1364E-04
  2.7000E+00  9.6945E-03 -1.2897E-03
  2.7500E+00  9.2952E-03  1.4779E-03
  2.8000E+00  9.5099E-03  9.0803E-04
  2.8500E+00  1.0904E-02  1.3249E-03
  2.9000E+00  1.0455E-02 -1.1360E-03
  2.9500E+00  9.3546E-03  1.0094E-03
  3.0000E+00  9.3474E-03  9.7378E-04
  3.0500E+00  9.8096E-03  2.9941E-04
  3.1000E+00  9.6799E-03  6.1586E-04
  3.1500E+00  9.9729E-03 -8.8479E-05
