# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jun 25 11:21:06 2018
# diag: GAMDIAG, run(s): 0030, time window: 0-500(1368 steps), species: ions
# original data path: /r/c/cmor/ZF_3rd/w7xhms05/0.3047-0.5/
# normalization: L_ref=5.4832m
#
# xind= 0, x/a= 0.70710677, q= 1.1018624
# Fit:    1,-0.17621465,2.4374341
# Analytic (Gao, Zhou/Yu): 0.32199362,-0.20251156,2.4374311
#  t          Re[phi]     Im[phi]   
  0.0000E+00  9.9998E-01  0.0000E+00
  3.6600E-01  9.9767E-01  1.1279E-03
  7.3200E-01  9.9107E-01  2.2714E-03
  1.0980E+00  9.8086E-01  3.4173E-03
  1.4640E+00  9.6778E-01  4.5485E-03
  1.8300E+00  9.5264E-01  5.6598E-03
  2.1960E+00  9.3621E-01  6.7498E-03
  2.5620E+00  9.1923E-01  7.8146E-03
  2.9280E+00  9.0230E-01  8.8475E-03
  3.2940E+00  8.8592E-01  9.8399E-03
  3.6600E+00  8.7043E-01  1.0783E-02
  4.0260E+00  8.5603E-01  1.1672E-02
  4.3920E+00  8.4279E-01  1.2503E-02
  4.7580E+00  8.3064E-01  1.3278E-02
  5.1240E+00  8.1948E-01  1.4005E-02
  5.4900E+00  8.0910E-01  1.4690E-02
  5.8560E+00  7.9932E-01  1.5344E-02
  6.2220E+00  7.8993E-01  1.5975E-02
  6.5880E+00  7.8076E-01  1.6590E-02
  6.9540E+00  7.7165E-01  1.7193E-02
  7.3200E+00  7.6251E-01  1.7787E-02
  7.6860E+00  7.5325E-01  1.8372E-02
  8.0520E+00  7.4386E-01  1.8944E-02
  8.4180E+00  7.3434E-01  1.9501E-02
  8.7840E+00  7.2471E-01  2.0038E-02
  9.1500E+00  7.1502E-01  2.0551E-02
  9.5160E+00  7.0533E-01  2.1036E-02
  9.8820E+00  6.9571E-01  2.1490E-02
  1.0248E+01  6.8622E-01  2.1910E-02
  1.0614E+01  6.7692E-01  2.2295E-02
  1.0980E+01  6.6786E-01  2.2645E-02
  1.1346E+01  6.5909E-01  2.2960E-02
  1.1712E+01  6.5067E-01  2.3240E-02
  1.2078E+01  6.4262E-01  2.3488E-02
  1.2444E+01  6.3496E-01  2.3705E-02
  1.2810E+01  6.2770E-01  2.3899E-02
  1.3176E+01  6.2088E-01  2.4071E-02
  1.3542E+01  6.1449E-01  2.4224E-02
  1.3908E+01  6.0853E-01  2.4360E-02
  1.4274E+01  6.0300E-01  2.4482E-02
  1.4640E+01  5.9791E-01  2.4596E-02
  1.5006E+01  5.9323E-01  2.4705E-02
  1.5372E+01  5.8896E-01  2.4813E-02
  1.5738E+01  5.8511E-01  2.4921E-02
  1.6104E+01  5.8164E-01  2.5034E-02
  1.6470E+01  5.7857E-01  2.5152E-02
  1.6836E+01  5.7586E-01  2.5277E-02
  1.7202E+01  5.7351E-01  2.5410E-02
  1.7568E+01  5.7150E-01  2.5556E-02
  1.7934E+01  5.6983E-01  2.5717E-02
  1.8300E+01  5.6849E-01  2.5896E-02
  1.8666E+01  5.6747E-01  2.6093E-02
  1.9032E+01  5.6676E-01  2.6305E-02
  1.9398E+01  5.6632E-01  2.6531E-02
  1.9764E+01  5.6615E-01  2.6773E-02
  2.0130E+01  5.6624E-01  2.7036E-02
  2.0496E+01  5.6657E-01  2.7322E-02
  2.0862E+01  5.6711E-01  2.7634E-02
  2.1228E+01  5.6783E-01  2.7970E-02
  2.1594E+01  5.6872E-01  2.8326E-02
