# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 16:08:40 2019
# diag: fluxzprofile, run(s): act, time window: 0-1602.4176(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_P/
# normalization: L_ref=1.65m
#
#  z          !7C!6!Des   !6Q!Des   
  2.4544E+00 -1.2710E-15 -1.3925E-15
  2.5035E+00  1.2975E-15  1.8657E-15
  2.5525E+00 -8.5968E-16 -6.0529E-16
  2.6016E+00  3.7120E-16  4.5333E-16
  2.6507E+00  2.0901E-16  2.4552E-16
  2.6998E+00  7.4850E-17  5.0230E-18
  2.7489E+00  6.8387E-17  3.3516E-17
  2.7980E+00  1.2488E-16  1.8348E-16
  2.8471E+00  4.6361E-17  6.0224E-17
  2.8962E+00 -4.2042E-17 -5.7221E-17
  2.9452E+00  3.1095E-17  3.7857E-17
  2.9943E+00  7.9808E-18  1.1717E-17
  3.0434E+00 -7.4404E-18 -7.8762E-18
  3.0925E+00  7.2544E-18  6.9826E-18
