# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 11:29:31 2019
# diag: nrgsummary, run(s): 1, time window: 0-416.76757(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt3_P/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  1.4805E+01 -4.6002E-19  1.3196E+01  8.1710E-02
  1.4879E+01  2.1284E-17  1.3305E+01  8.4005E-02
  1.4949E+01 -3.2125E-17  1.3407E+01  8.6238E-02
  1.5019E+01  1.4643E-17  1.3505E+01  8.8806E-02
  1.5090E+01  1.3624E-18  1.3601E+01  9.1475E-02
  1.5160E+01 -1.5829E-17  1.3695E+01  9.3965E-02
  1.5230E+01 -7.0299E-19  1.3785E+01  9.5680E-02
  1.5301E+01 -1.6620E-17  1.3873E+01  9.6935E-02
  1.5371E+01  1.0183E-17  1.3957E+01  9.8371E-02
  1.5441E+01 -1.8675E-17  1.4037E+01  9.9966E-02
  1.5511E+01  1.3892E-17  1.4114E+01  1.0216E-01
  1.5582E+01 -1.0707E-17  1.4187E+01  1.0458E-01
  1.5649E+01 -1.4975E-17  1.4251E+01  1.0652E-01
  1.5716E+01 -2.1898E-17  1.4310E+01  1.0955E-01
  1.5779E+01 -2.5566E-17  1.4362E+01  1.1296E-01
  1.5842E+01  7.5960E-19  1.4408E+01  1.1645E-01
  1.5902E+01 -1.8655E-17  1.4448E+01  1.1996E-01
  1.5962E+01  2.1572E-18  1.4484E+01  1.2424E-01
  1.6022E+01 -3.1243E-18  1.4516E+01  1.3051E-01
  1.6082E+01 -2.7657E-17  1.4543E+01  1.3799E-01
  1.6142E+01  3.5396E-18  1.4566E+01  1.4618E-01
  1.6202E+01  2.6926E-18  1.4582E+01  1.5453E-01
  1.6262E+01  1.4710E-18  1.4592E+01  1.6253E-01
  1.6323E+01  9.5299E-18  1.4599E+01  1.6978E-01
  1.6383E+01  1.4506E-17  1.4604E+01  1.7566E-01
  1.6443E+01  3.3488E-17  1.4607E+01  1.7980E-01
  1.6503E+01 -3.8152E-17  1.4609E+01  1.8381E-01
  1.6563E+01  2.1903E-17  1.4607E+01  1.8988E-01
  1.6623E+01 -2.0178E-17  1.4600E+01  1.9832E-01
  1.6683E+01 -9.5242E-18  1.4592E+01  2.0670E-01
  1.6744E+01  7.7441E-18  1.4580E+01  2.1402E-01
  1.6804E+01  4.8466E-18  1.4562E+01  2.2077E-01
  1.6862E+01  1.9622E-17  1.4536E+01  2.2535E-01
  1.6919E+01 -8.2150E-18  1.4504E+01  2.2812E-01
  1.6976E+01 -6.7451E-18  1.4466E+01  2.2990E-01
  1.7033E+01 -7.2376E-18  1.4422E+01  2.3024E-01
  1.7090E+01  1.6019E-17  1.4378E+01  2.2915E-01
  1.7147E+01  7.7525E-18  1.4336E+01  2.2545E-01
  1.7204E+01  3.4547E-17  1.4292E+01  2.1960E-01
  1.7261E+01  2.5252E-17  1.4241E+01  2.1386E-01
  1.7319E+01  1.5137E-18  1.4188E+01  2.0783E-01
  1.7376E+01 -1.5479E-17  1.4130E+01  2.0166E-01
  1.7433E+01 -3.1511E-17  1.4065E+01  1.9701E-01
  1.7490E+01  1.4632E-17  1.3996E+01  1.9167E-01
  1.7547E+01  5.0231E-18  1.3926E+01  1.8393E-01
  1.7604E+01  1.4652E-17  1.3857E+01  1.7651E-01
  1.7660E+01  1.2783E-17  1.3796E+01  1.7009E-01
  1.7714E+01  5.3881E-18  1.3741E+01  1.6440E-01
  1.7765E+01  1.6481E-17  1.3687E+01  1.5666E-01
  1.7814E+01 -1.4915E-17  1.3633E+01  1.4597E-01
  1.7862E+01 -1.7452E-17  1.3577E+01  1.3329E-01
  1.7911E+01  1.4330E-17  1.3521E+01  1.2112E-01
  1.7959E+01  1.0078E-17  1.3466E+01  1.0967E-01
  1.8008E+01 -3.7631E-18  1.3413E+01  1.0064E-01
  1.8056E+01  2.6676E-18  1.3361E+01  9.4140E-02
  1.8105E+01 -1.7073E-17  1.3311E+01  8.6978E-02
  1.8153E+01  6.1200E-18  1.3264E+01  8.0838E-02
  1.8202E+01 -3.2753E-17  1.3215E+01  7.6420E-02
  1.8250E+01 -1.4741E-17  1.3164E+01  7.3377E-02
  1.8299E+01 -1.1621E-17  1.3115E+01  6.9754E-02
  1.8347E+01  1.5012E-17  1.3069E+01  6.5397E-02
  1.8396E+01  6.9431E-18  1.3024E+01  6.0655E-02
  1.8444E+01 -4.3529E-18  1.2978E+01  5.6116E-02
  1.8493E+01 -3.7920E-18  1.2933E+01  5.3214E-02
  1.8541E+01 -3.4874E-18  1.2886E+01  5.3091E-02
  1.8590E+01  1.1113E-17  1.2838E+01  5.0243E-02
  1.8641E+01  7.0137E-19  1.2790E+01  4.2466E-02
  1.8692E+01  2.6270E-17  1.2742E+01  3.6538E-02
  1.8743E+01 -1.6416E-18  1.2693E+01  3.1447E-02
  1.8794E+01 -1.3429E-17  1.2644E+01  2.5831E-02
  1.8845E+01 -6.5442E-18  1.2596E+01  2.1583E-02
  1.8896E+01 -6.8633E-18  1.2549E+01  1.9584E-02
  1.8946E+01  2.4435E-18  1.2508E+01  1.8564E-02
  1.8997E+01  3.4159E-18  1.2470E+01  1.8532E-02
  1.9048E+01 -2.4886E-18  1.2430E+01  1.6392E-02
  1.9099E+01 -5.5878E-18  1.2388E+01  1.1491E-02
  1.9150E+01 -1.6218E-17  1.2346E+01  6.0854E-03
