# CREATED BY GENE DIAGNOSTICS TOOL on Thu Aug 30 18:27:04 2018
# diag: fluxspectra, run(s): act, time window: 0-87.063935(628 steps), species: ions
# original data path: /ptmp/cmor/s-alpha/
# normalization: R_0
#
# Q*dVdx =   4.2916E+01 MW
# G*dVdx =  -1.0666E-10 MW/keV
#  kx         G_es,p      Q_es,p    
  5.7830E+00  7.8005E-13  4.2736E-03
  5.8321E+00  6.8960E-13  4.0918E-03
  5.8811E+00  1.3074E-13  3.9196E-03
  5.9301E+00 -9.9727E-14  3.7394E-03
  5.9791E+00  1.9212E-13  3.6242E-03
  6.0281E+00 -8.5536E-15  3.4528E-03
  6.0771E+00 -6.6071E-13  3.2954E-03
  6.1261E+00  2.2501E-13  3.1756E-03
  6.1751E+00  3.7228E-14  3.0353E-03
  6.2241E+00 -6.5079E-13  2.8794E-03
  6.2731E+00 -3.7658E-13  2.7744E-03
  6.3221E+00  6.0791E-13  2.6818E-03
  6.3712E+00  4.1469E-14  2.6044E-03
  6.4202E+00 -1.6313E-13  2.4641E-03
  6.4692E+00  2.3438E-14  2.3488E-03
  6.5182E+00  3.6603E-13  2.3099E-03
  6.5672E+00  1.9118E-13  2.2092E-03
  6.6162E+00 -3.1158E-15  2.1144E-03
  6.6652E+00  1.8690E-13  2.0106E-03
  6.7142E+00 -3.6700E-14  1.9605E-03
  6.7632E+00  2.1327E-14  1.8946E-03
  6.8122E+00 -1.3693E-13  1.7912E-03
  6.8612E+00 -1.3828E-13  1.7263E-03
  6.9103E+00  3.0659E-14  1.6763E-03
  6.9593E+00 -3.0781E-13  1.6076E-03
  7.0083E+00 -5.2533E-14  1.5420E-03
  7.0573E+00 -3.7983E-13  1.4887E-03
  7.1063E+00  3.6990E-14  1.4490E-03
  7.1553E+00  8.7890E-14  1.3943E-03
  7.2043E+00  1.3282E-13  1.3450E-03
  7.2533E+00 -1.5386E-13  1.2745E-03
  7.3023E+00  2.3064E-13  1.2177E-03
  7.3513E+00 -4.6221E-14  1.1816E-03
  7.4003E+00 -3.0688E-13  1.1460E-03
