# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug  7 16:00:15 2018
# diag: fluxspectra, run(s): act, time window: 0-3243.0541(620 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xlms05/ITGa/scanomn0omt1/
# normalization: L_ref=5.5306m
#
# Q*dVdx =   2.4833E+01 MW
# G*dVdx =   2.0991E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  1.0836E+00 -2.2920E-14  2.0999E-04
  1.0928E+00  3.8185E-15  2.0174E-04
  1.1020E+00 -3.1458E-15  1.9650E-04
  1.1112E+00  1.6512E-15  1.9393E-04
  1.1204E+00 -7.3179E-15  1.8719E-04
  1.1296E+00 -5.2625E-15  1.8173E-04
  1.1388E+00 -2.0313E-15  1.7882E-04
  1.1479E+00  9.9434E-15  1.7396E-04
  1.1571E+00 -1.0070E-14  1.7012E-04
  1.1663E+00  9.9450E-15  1.6513E-04
  1.1755E+00 -1.2831E-14  1.6240E-04
  1.1847E+00 -2.5099E-15  1.5623E-04
  1.1939E+00 -2.0139E-15  1.5247E-04
  1.2030E+00 -2.9964E-15  1.5021E-04
  1.2122E+00  1.4057E-14  1.4665E-04
  1.2214E+00  6.4871E-16  1.4254E-04
  1.2306E+00  8.0887E-15  1.3774E-04
  1.2398E+00 -8.9543E-15  1.3485E-04
  1.2490E+00  6.0633E-15  1.3172E-04
  1.2581E+00  3.3969E-15  1.2907E-04
  1.2673E+00 -1.0307E-14  1.2734E-04
  1.2765E+00  7.5131E-15  1.2376E-04
  1.2857E+00  4.4103E-15  1.2040E-04
  1.2949E+00  7.5620E-15  1.1631E-04
  1.3041E+00  1.6580E-14  1.1531E-04
  1.3132E+00  8.2154E-16  1.1264E-04
  1.3224E+00 -4.0989E-15  1.0988E-04
  1.3316E+00 -4.0655E-15  1.0730E-04
  1.3408E+00 -3.1224E-15  1.0515E-04
  1.3500E+00  1.5237E-14  1.0334E-04
  1.3592E+00  6.5973E-15  1.0146E-04
  1.3683E+00 -1.5157E-14  9.8673E-05
  1.3775E+00  1.4454E-14  9.8884E-05
  1.3867E+00  8.1939E-15  9.4567E-05
  1.3959E+00 -3.9272E-16  9.3702E-05
  1.4051E+00 -4.7311E-15  9.1724E-05
  1.4143E+00  1.2970E-14  8.9441E-05
  1.4234E+00 -2.1617E-16  8.7692E-05
  1.4326E+00 -4.6616E-15  8.6012E-05
  1.4418E+00  9.5374E-15  8.4547E-05
  1.4510E+00  2.7714E-15  8.1964E-05
  1.4602E+00  5.6483E-16  8.1908E-05
  1.4694E+00  3.2369E-15  7.9307E-05
  1.4785E+00  5.1063E-15  7.8192E-05
  1.4877E+00 -1.2448E-14  7.6679E-05
  1.4969E+00  1.0624E-14  7.4443E-05
  1.5061E+00  7.2814E-15  7.4791E-05
  1.5153E+00 -6.6346E-15  7.3271E-05
  1.5245E+00  8.1591E-15  7.1564E-05
  1.5336E+00  4.8357E-15  7.0284E-05
  1.5428E+00 -3.5380E-15  6.8984E-05
  1.5520E+00 -7.0295E-15  6.7685E-05
  1.5612E+00  2.3240E-15  6.6765E-05
  1.5704E+00 -1.1927E-14  6.5884E-05
  1.5796E+00 -8.5110E-15  6.4803E-05
  1.5887E+00 -1.5826E-15  6.3418E-05
  1.5979E+00 -6.1784E-15  6.3104E-05
  1.6071E+00 -1.3848E-16  6.1675E-05
  1.6163E+00 -3.0056E-15  6.0965E-05
  1.6255E+00  3.6400E-15  5.9843E-05
  1.6347E+00 -3.1357E-15  5.8691E-05
  1.6438E+00  3.4906E-15  5.8014E-05
  1.6530E+00 -6.1792E-15  5.7614E-05
  1.6622E+00 -3.2962E-15  5.6066E-05
  1.6714E+00  2.4408E-15  5.5144E-05
  1.6806E+00  1.8907E-15  5.3991E-05
  1.6898E+00  2.5388E-15  5.4404E-05
  1.6989E+00 -7.4835E-15  5.2939E-05
  1.7081E+00  1.3154E-15  5.2491E-05
  1.7173E+00  6.8992E-15  5.1904E-05
  1.7265E+00 -4.7964E-15  5.1755E-05
  1.7357E+00  5.4571E-15  5.0996E-05
  1.7449E+00  7.6827E-16  4.9515E-05
  1.7540E+00  1.8686E-15  4.8510E-05
  1.7632E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02 -5.5191E-15  4.5249E-03
  1.0000E-01 -1.1396E-14  1.4994E-02
  1.5000E-01 -1.9835E-14  3.4022E-02
  2.0000E-01  5.7846E-14  4.9909E-02
  2.5000E-01  8.0962E-14  7.1923E-02
  3.0000E-01  1.9342E-13  6.0456E-02
  3.5000E-01  1.5613E-13  4.5284E-02
  4.0000E-01 -4.2921E-14  3.5189E-02
  4.5000E-01 -1.8544E-14  2.7499E-02
  5.0000E-01  2.6258E-13  2.2712E-02
  5.5000E-01  1.4991E-13  1.8617E-02
  6.0000E-01 -6.9290E-14  1.5352E-02
  6.5000E-01  6.2797E-14  1.2591E-02
  7.0000E-01 -7.2703E-14  1.0597E-02
  7.5000E-01  3.3190E-14  8.6862E-03
  8.0000E-01  2.5345E-16  7.0748E-03
  8.5000E-01 -1.8143E-14  5.7696E-03
  9.0000E-01  4.2336E-15  4.7692E-03
  9.5000E-01  7.3470E-14  3.9138E-03
  1.0000E+00  2.7551E-14  3.2952E-03
  1.0500E+00  1.0139E-13  2.7911E-03
  1.1000E+00 -2.0850E-14  2.3539E-03
  1.1500E+00 -4.6478E-14  2.0044E-03
  1.2000E+00  9.1546E-15  1.7312E-03
  1.2500E+00 -2.9124E-14  1.5043E-03
  1.3000E+00 -2.9077E-15  1.3161E-03
  1.3500E+00  9.8826E-15  1.1434E-03
  1.4000E+00  7.8511E-16  1.0153E-03
  1.4500E+00 -2.2900E-14  8.8935E-04
  1.5000E+00  2.5826E-14  7.8850E-04
  1.5500E+00  8.7244E-15  7.0421E-04
  1.6000E+00 -2.1944E-14  6.3540E-04
  1.6500E+00 -2.8781E-14  5.7414E-04
  1.7000E+00  3.5437E-14  5.2611E-04
  1.7500E+00  2.6689E-14  4.8354E-04
  1.8000E+00  1.3230E-15  4.4414E-04
  1.8500E+00 -1.2009E-14  4.1280E-04
  1.9000E+00 -2.4803E-15  3.8810E-04
  1.9500E+00  8.2301E-16  3.6410E-04
  2.0000E+00 -9.0976E-16  3.4381E-04
  2.0500E+00 -5.8189E-15  3.2509E-04
  2.1000E+00  1.1126E-14  3.0588E-04
  2.1500E+00 -1.2324E-14  2.9120E-04
  2.2000E+00  1.6257E-15  2.7573E-04
  2.2500E+00  4.6225E-15  2.6228E-04
  2.3000E+00 -9.9987E-15  2.4744E-04
  2.3500E+00  6.2560E-15  2.3490E-04
  2.4000E+00 -5.0641E-15  2.2231E-04
  2.4500E+00  1.1160E-14  2.1053E-04
  2.5000E+00 -3.3519E-15  2.0009E-04
  2.5500E+00 -3.4467E-15  1.8827E-04
  2.6000E+00 -1.7265E-15  1.7762E-04
  2.6500E+00  8.7433E-16  1.6792E-04
  2.7000E+00  7.8974E-15  1.5728E-04
  2.7500E+00  6.4509E-17  1.4787E-04
  2.8000E+00  4.0004E-15  1.3723E-04
  2.8500E+00 -6.6426E-15  1.2788E-04
  2.9000E+00  2.1968E-15  1.1784E-04
  2.9500E+00 -3.4509E-15  1.0857E-04
  3.0000E+00 -1.6283E-15  9.9634E-05
  3.0500E+00  1.6512E-15  9.2261E-05
  3.1000E+00  4.2913E-15  8.5679E-05
  3.1500E+00  1.8664E-15  7.9087E-05
