# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jul 16 16:38:02 2018
# diag: fluxspectra, run(s): act, time window: 0-2221.6578(265 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt05/
# normalization: L_ref=1.65m
#
# Q*dVdx =   1.2026E-02 MW
# G*dVdx =   1.9965E-13 MW/keV
#  kx         G_es,p      Q_es,p    
  2.8206E+00  3.2204E-17  6.9714E-08
  2.8447E+00  7.7500E-17  6.0772E-08
  2.8688E+00 -4.2883E-17  5.7687E-08
  2.8929E+00  4.5163E-17  5.0256E-08
  2.9170E+00  2.9437E-17  4.9827E-08
  2.9411E+00 -1.1418E-16  4.4295E-08
  2.9652E+00 -7.7392E-18  4.0001E-08
  2.9893E+00  6.4386E-17  4.7364E-08
  3.0134E+00 -9.0077E-17  3.8788E-08
  3.0375E+00  4.3414E-17  3.2797E-08
  3.0616E+00  6.5870E-18  3.3656E-08
  3.0857E+00  1.4507E-17  2.3704E-08
  3.1099E+00 -2.4183E-17  2.3733E-08
  3.1340E+00  7.5833E-18  2.1756E-08
  3.1581E+00 -3.9552E-18  2.5141E-08
  3.1822E+00 -5.8560E-18  2.4151E-08
  3.2063E+00 -4.9667E-17  2.1078E-08
  3.2304E+00  2.6684E-17  1.7897E-08
  3.2545E+00 -2.3613E-17  1.6170E-08
  3.2786E+00 -1.3082E-17  1.2577E-08
  3.3027E+00 -3.7096E-17  1.2628E-08
  3.3268E+00 -7.1462E-17  6.9408E-09
  3.3509E+00  8.9117E-18  5.7723E-09
  3.3750E+00 -1.2524E-17  6.9030E-09
  3.3991E+00 -1.2408E-17  2.9207E-09
  3.4233E+00  4.7570E-17  5.3906E-09
  3.4474E+00 -8.4612E-18  8.3974E-09
  3.4715E+00 -3.5726E-17  6.0399E-09
  3.4956E+00  2.6005E-17  4.7565E-09
  3.5197E+00 -2.8679E-18  1.6386E-09
  3.5438E+00  1.3560E-17  2.9672E-09
  3.5679E+00  7.4019E-18  1.9150E-09
  3.5920E+00  2.3881E-18  2.5212E-10
  3.6161E+00 -1.2462E-17  6.0077E-10
  3.6402E+00 -1.9425E-17 -2.2303E-10
  3.6643E+00 -3.1082E-17  2.8582E-09
  3.6884E+00  1.8132E-18 -2.0122E-09
  3.7125E+00  1.6627E-17 -2.7630E-10
  3.7366E+00 -2.9946E-19 -2.1338E-09
  3.7608E+00 -2.3847E-17 -2.8021E-09
  3.7849E+00  1.7682E-18 -2.8219E-09
  3.8090E+00 -2.8664E-18 -4.7927E-09
  3.8331E+00  1.6240E-17 -5.7082E-09
  3.8572E+00  1.2344E-17 -3.3135E-09
  3.8813E+00 -3.2236E-19 -4.3680E-09
  3.9054E+00 -8.1949E-18 -6.6822E-09
  3.9295E+00  2.5890E-17 -8.2757E-09
  3.9536E+00 -2.7397E-18 -7.2148E-09
  3.9777E+00  1.3907E-18 -8.9076E-09
  4.0018E+00 -9.9223E-18 -8.7928E-09
  4.0259E+00  7.7353E-18 -8.7125E-09
  4.0500E+00 -2.7408E-18 -9.5572E-09
  4.0742E+00 -8.0799E-18 -8.9601E-09
  4.0983E+00  8.2846E-19 -9.8847E-09
  4.1224E+00 -1.2820E-17 -9.9686E-09
  4.1465E+00 -1.2662E-17 -1.0746E-08
  4.1706E+00 -1.3964E-17 -1.1216E-08
  4.1947E+00  1.0188E-17 -1.0741E-08
  4.2188E+00  9.5028E-19 -1.0865E-08
  4.2429E+00 -6.9814E-18 -1.0425E-08
  4.2670E+00  2.6863E-18 -1.1869E-08
  4.2911E+00 -6.7067E-18 -1.1493E-08
  4.3152E+00  2.4162E-17 -1.1726E-08
  4.3393E+00  8.4990E-18 -1.2413E-08
  4.3634E+00 -4.2387E-18 -1.3172E-08
  4.3875E+00  1.7982E-17 -1.4611E-08
  4.4117E+00 -4.8792E-18 -1.3020E-08
  4.4358E+00  4.8078E-18 -1.1778E-08
  4.4599E+00 -1.1441E-17 -1.4637E-08
  4.4840E+00  2.2605E-17 -1.3674E-08
