# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:22:02 2019
# diag: fluxspectra, run(s): act, time window: 0-8.5(121 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt10/
# normalization: R_0
#
# Q*dVdx =   9.4149E+01 MW
# G*dVdx =   1.5172E-09 MW/keV
# P*dVdx =   3.0207E+00 J
#  kx         G_es,p      Q_es,p      P_es,p    
  4.2638E+00  1.8746E-11  3.6366E-01  5.4497E-04
  4.3128E+00  3.0289E-11  3.5186E-01  6.1036E-03
  4.3618E+00 -3.4033E-12  3.4195E-01 -8.0153E-04
  4.4108E+00  2.8695E-11  3.3187E-01  1.0937E-04
  4.4598E+00  1.4409E-11  3.2708E-01  1.8664E-03
  4.5088E+00 -2.6356E-11  3.1645E-01  9.3557E-04
  4.5578E+00  1.7953E-11  3.0925E-01  9.6340E-04
  4.6068E+00 -3.6226E-12  2.9727E-01 -2.1047E-03
  4.6558E+00  1.2254E-11  2.9256E-01 -9.0765E-04
  4.7049E+00  3.0995E-11  2.8213E-01  5.0506E-03
  4.7539E+00 -1.9397E-11  2.7850E-01  5.6636E-03
  4.8029E+00  1.6683E-11  2.7140E-01  3.0711E-03
  4.8519E+00  9.7196E-12  2.6669E-01  9.6249E-04
  4.9009E+00 -1.2994E-11  2.5738E-01 -1.1959E-03
  4.9499E+00  1.5006E-11  2.4841E-01  2.1970E-04
  4.9989E+00 -9.0307E-12  2.4011E-01 -2.1452E-03
  5.0479E+00  1.8138E-11  2.3369E-01 -5.5864E-03
  5.0969E+00 -7.5379E-12  2.3102E-01 -1.7276E-03
  5.1459E+00 -5.4421E-12  2.2343E-01 -6.9297E-04
  5.1949E+00  1.1283E-11  2.1169E-01  3.5444E-04
  5.2440E+00 -7.2797E-13  2.0744E-01 -3.3318E-04
  5.2930E+00 -8.0154E-12  2.0813E-01  6.6628E-04
  5.3420E+00  2.2685E-11  2.0625E-01  4.2078E-03
  5.3910E+00 -2.0685E-11  1.9654E-01  5.5741E-03
  5.4400E+00  5.3322E-12  1.8734E-01  1.3997E-03
  5.4890E+00 -2.2618E-11  1.8163E-01  8.6742E-04
  5.5380E+00  9.3442E-12  1.8211E-01  7.7259E-04
  5.5870E+00  1.3774E-11  1.7663E-01  1.5878E-03
  5.6360E+00 -5.5853E-12  1.7325E-01  9.5105E-03
  5.6850E+00 -1.8395E-11  1.6715E-01  6.6477E-03
  5.7340E+00  1.3596E-11  1.6214E-01  2.3901E-03
  5.7830E+00  5.6970E-12  1.5565E-01  3.1524E-04
  5.8321E+00 -1.3093E-11  1.5356E-01  2.8238E-03
  5.8811E+00 -4.9544E-12  1.5203E-01  2.4359E-03
  5.9301E+00  2.7629E-12  1.4998E-01  1.0640E-03
  5.9791E+00  1.1588E-11  1.5109E-01  8.5289E-05
  6.0281E+00 -2.9028E-13  1.4957E-01 -2.2257E-03
  6.0771E+00 -2.0404E-11  1.4450E-01 -4.1280E-03
  6.1261E+00 -1.8838E-11  1.3943E-01 -4.6384E-03
  6.1751E+00  1.7559E-11  1.3442E-01 -4.1080E-03
  6.2241E+00 -3.0714E-14  1.3345E-01 -1.0608E-03
  6.2731E+00  2.3267E-11  1.3180E-01  6.1095E-04
  6.3221E+00  1.2297E-11  1.2867E-01  1.9824E-03
  6.3712E+00 -3.2552E-12  1.2212E-01 -3.7655E-04
  6.4202E+00  7.7765E-12  1.1900E-01 -9.9645E-04
  6.4692E+00 -1.6638E-11  1.1982E-01 -2.5016E-03
  6.5182E+00  3.1078E-13  1.1220E-01 -4.7010E-03
  6.5672E+00  5.7158E-12  1.1289E-01 -2.3074E-03
  6.6162E+00 -4.9541E-12  1.1251E-01 -8.9549E-04
  6.6652E+00  2.3760E-12  1.0535E-01 -7.9880E-04
  6.7142E+00  4.4556E-12  1.0219E-01 -2.7585E-03
  6.7632E+00  3.9874E-13  9.8772E-02 -1.3583E-03
  6.8122E+00  5.6305E-12  9.7625E-02 -3.1802E-03
  6.8612E+00  1.3024E-11  9.5997E-02 -7.2635E-03
  6.9103E+00  2.4114E-12  9.2687E-02 -9.1626E-04
  6.9593E+00  6.2273E-12  8.8517E-02 -1.2592E-03
  7.0083E+00 -6.7906E-13  8.4390E-02 -1.5293E-03
  7.0573E+00  4.7606E-12  8.1287E-02  8.5308E-04
  7.1063E+00 -9.4522E-12  7.9609E-02  4.0744E-04
  7.1553E+00  1.3248E-11  7.7544E-02  7.7599E-05
  7.2043E+00  1.5064E-11  7.3216E-02 -2.3150E-03
  7.2533E+00 -1.7924E-11  7.1775E-02  4.0442E-04
  7.3023E+00 -9.8835E-12  6.9678E-02  7.9931E-04
  7.3513E+00  8.8286E-12  6.9326E-02 -2.0081E-05
  7.4003E+00 -7.0181E-12  6.9209E-02  1.6989E-03
  7.4494E+00 -2.0223E-11  6.9572E-02 -6.0512E-04
  7.4984E+00 -1.2717E-11  6.6749E-02 -1.9491E-03
  7.5474E+00 -1.5132E-11  6.5827E-02 -2.7361E-03
  7.5964E+00 -1.0930E-11  6.2108E-02 -1.8536E-03
  7.6454E+00  9.6732E-12  6.6208E-02 -5.5118E-04
  7.6944E+00  5.6746E-12  6.2299E-02 -1.6815E-03
  7.7434E+00  7.1288E-12  6.2651E-02 -3.2109E-03
  7.7924E+00  1.2007E-11  6.0761E-02 -1.1205E-03
  7.8414E+00 -4.3335E-13  5.8148E-02 -1.6174E-03
  7.8904E+00  6.0481E-12  5.3869E-02  5.6938E-04
  7.9394E+00  8.6461E-13  4.8273E-02  5.1091E-04
  7.9884E+00  1.6812E-11  4.7606E-02 -4.0222E-03
  8.0375E+00  3.8255E-12  4.7875E-02 -3.3972E-03
  8.0865E+00  1.2680E-12  4.6956E-02  3.5621E-03
  8.1355E+00 -9.5042E-12  4.7182E-02  9.2294E-03
  8.1845E+00  3.2239E-13  4.9405E-02  4.8541E-03
  8.2335E+00  1.0395E-11  4.7199E-02  4.8566E-03
  8.2825E+00  8.7943E-12  4.5643E-02  5.2461E-03
  8.3315E+00 -8.2647E-12  4.5869E-02  5.4243E-03
  8.3805E+00  1.2011E-11  4.6656E-02  7.0460E-03
  8.4295E+00 -1.3840E-12  4.5936E-02  1.1269E-02
  8.4785E+00 -1.0356E-12  4.1770E-02  1.1058E-02
  8.5275E+00  8.7291E-12  4.3553E-02  5.5793E-03
  8.5766E+00  1.9460E-11  4.1677E-02  1.9208E-03
