# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 15:03:36 2019
# diag: nrgsummary, run(s): act, time window: 0-2000(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt2/
# normalization: L_T,ions
#
#  t          G_tot       Q_tot       P_tot     
  6.7723E+01 -4.0397E-18  2.1446E+00 -7.0265E-03
  6.8117E+01  4.5423E-18  2.1236E+00 -8.2308E-03
  6.8511E+01 -4.1050E-19  2.1041E+00 -1.1823E-02
  6.8904E+01 -2.6542E-18  2.0859E+00 -1.4564E-02
  6.9298E+01  2.7965E-18  2.0674E+00 -1.5004E-02
  6.9692E+01  3.4795E-18  2.0487E+00 -1.4469E-02
  7.0086E+01 -1.0245E-18  2.0299E+00 -1.4460E-02
  7.0488E+01 -1.4904E-18  2.0124E+00 -1.5461E-02
  7.0901E+01 -3.2193E-18  1.9948E+00 -1.7066E-02
  7.1315E+01  2.2013E-18  1.9772E+00 -1.7598E-02
  7.1728E+01 -8.3627E-19  1.9601E+00 -1.7378E-02
  7.2142E+01  1.8066E-18  1.9441E+00 -1.7476E-02
  7.2555E+01  3.7730E-18  1.9287E+00 -1.7722E-02
  7.2969E+01  5.4580E-18  1.9142E+00 -1.7452E-02
  7.3382E+01  1.4872E-18  1.9000E+00 -1.6932E-02
  7.3796E+01  7.6887E-19  1.8857E+00 -1.5574E-02
  7.4209E+01  1.9914E-18  1.8702E+00 -1.3947E-02
  7.4631E+01  3.6008E-19  1.8542E+00 -1.1757E-02
  7.5065E+01  3.0347E-19  1.8384E+00 -8.2735E-03
  7.5499E+01  1.3552E-18  1.8233E+00 -4.5398E-03
  7.5933E+01 -9.3315E-19  1.8089E+00 -1.9549E-03
  7.6368E+01  5.7310E-19  1.7932E+00 -8.9755E-04
  7.6802E+01 -1.5935E-18  1.7759E+00 -5.2443E-04
  7.7236E+01  1.6401E-18  1.7583E+00 -6.4587E-04
  7.7670E+01 -2.4433E-18  1.7413E+00 -1.1137E-03
  7.8104E+01  1.6776E-18  1.7249E+00 -6.0965E-04
  7.8539E+01  1.4689E-18  1.7100E+00  2.2188E-04
  7.8981E+01  1.2369E-18  1.6965E+00  4.9240E-04
  7.9437E+01 -1.5085E-19  1.6820E+00  6.1400E-04
  7.9893E+01 -3.8022E-19  1.6672E+00  9.4515E-05
  8.0349E+01 -2.4117E-18  1.6527E+00 -9.1842E-04
  8.0805E+01 -6.8908E-19  1.6384E+00 -2.4350E-03
  8.1261E+01 -5.5560E-19  1.6240E+00 -3.3007E-03
  8.1717E+01  8.7628E-19  1.6093E+00 -4.7772E-03
  8.2173E+01 -2.0308E-18  1.5946E+00 -6.3860E-03
  8.2629E+01  4.1807E-19  1.5808E+00 -6.5565E-03
  8.3085E+01  3.3270E-19  1.5679E+00 -6.2710E-03
  8.3550E+01  6.8955E-19  1.5558E+00 -6.7545E-03
  8.4028E+01  1.9085E-18  1.5432E+00 -7.6750E-03
  8.4507E+01  1.1790E-18  1.5307E+00 -8.3515E-03
  8.4986E+01  1.2042E-18  1.5195E+00 -9.1040E-03
  8.5464E+01 -3.9572E-19  1.5094E+00 -9.7082E-03
  8.5943E+01 -1.3069E-18  1.5001E+00 -9.9688E-03
  8.6422E+01  2.0377E-18  1.4914E+00 -9.3990E-03
  8.6900E+01 -1.2233E-18  1.4829E+00 -8.7798E-03
  8.7379E+01 -5.4750E-19  1.4754E+00 -8.7180E-03
  8.7858E+01  1.2004E-19  1.4687E+00 -8.4792E-03
  8.8346E+01  3.5002E-19  1.4632E+00 -8.0232E-03
  8.8849E+01  7.3155E-19  1.4582E+00 -7.0440E-03
  8.9351E+01  7.8028E-19  1.4522E+00 -6.3680E-03
  8.9854E+01 -1.9544E-20  1.4463E+00 -6.1565E-03
  9.0357E+01 -2.0140E-19  1.4406E+00 -6.6590E-03
  9.0859E+01  2.1018E-19  1.4342E+00 -7.1488E-03
  9.1362E+01 -3.1083E-19  1.4280E+00 -7.4825E-03
  9.1864E+01 -5.6442E-19  1.4224E+00 -7.6690E-03
  9.2367E+01  1.1358E-18  1.4174E+00 -7.6793E-03
  9.2870E+01  1.2205E-18  1.4129E+00 -7.5410E-03
  9.3382E+01 -9.6205E-19  1.4084E+00 -7.1130E-03
  9.3910E+01 -6.0672E-19  1.4038E+00 -6.3040E-03
  9.4438E+01  5.2755E-19  1.3992E+00 -6.2040E-03
  9.4966E+01 -7.5660E-20  1.3945E+00 -6.4185E-03
  9.5493E+01 -1.1109E-20  1.3892E+00 -6.6005E-03
  9.6021E+01  6.4430E-19  1.3833E+00 -7.0288E-03
  9.6549E+01  3.3588E-19  1.3770E+00 -7.1818E-03
  9.7077E+01 -2.3482E-19  1.3703E+00 -7.5188E-03
  9.7604E+01 -4.6818E-19  1.3641E+00 -7.3405E-03
  9.8132E+01  2.8727E-19  1.3585E+00 -7.1543E-03
  9.8671E+01 -5.6297E-20  1.3534E+00 -7.6162E-03
  9.9225E+01  3.7125E-19  1.3479E+00 -8.8038E-03
  9.9779E+01 -7.5628E-19  1.3421E+00 -9.7435E-03
  1.0033E+02 -9.6117E-19  1.3354E+00 -1.0076E-02
  1.0089E+02 -4.5868E-19  1.3284E+00 -1.0687E-02
  1.0144E+02 -5.6180E-19  1.3221E+00 -1.2602E-02
  1.0200E+02  7.5260E-19  1.3165E+00 -1.4451E-02
  1.0255E+02  1.5978E-19  1.3115E+00 -1.5327E-02
  1.0310E+02 -6.0452E-19  1.3070E+00 -1.5042E-02
  1.0366E+02 -9.7175E-19  1.3029E+00 -1.3535E-02
  1.0422E+02  8.1392E-19  1.2988E+00 -1.1179E-02
  1.0480E+02  4.2638E-19  1.2951E+00 -8.9668E-03
  1.0539E+02 -6.7545E-19  1.2919E+00 -7.7032E-03
  1.0597E+02  1.0068E-18  1.2878E+00 -7.3273E-03
  1.0655E+02  3.3297E-19  1.2831E+00 -7.2280E-03
  1.0713E+02  3.4790E-19  1.2792E+00 -6.5060E-03
  1.0771E+02 -3.5330E-19  1.2757E+00 -6.3508E-03
  1.0830E+02 -1.0271E-18  1.2725E+00 -6.6012E-03
  1.0888E+02 -1.1633E-18  1.2695E+00 -6.4263E-03
  1.0946E+02  3.6203E-19  1.2662E+00 -5.7842E-03
  1.1005E+02  2.7830E-19  1.2629E+00 -5.3850E-03
  1.1066E+02  3.0685E-19  1.2596E+00 -5.0083E-03
  1.1128E+02 -1.8024E-19  1.2576E+00 -4.8960E-03
  1.1189E+02  2.3015E-19  1.2572E+00 -5.2310E-03
  1.1250E+02  1.5240E-20  1.2578E+00 -5.6387E-03
  1.1311E+02 -2.4912E-19  1.2584E+00 -5.2648E-03
  1.1372E+02  6.0277E-19  1.2592E+00 -4.1595E-03
  1.1433E+02 -2.2912E-19  1.2605E+00 -2.9760E-03
  1.1494E+02 -1.9773E-19  1.2622E+00 -2.1123E-03
  1.1555E+02  6.5680E-19  1.2639E+00 -1.7994E-03
  1.1617E+02  3.7518E-19  1.2651E+00 -1.9224E-03
  1.1682E+02 -3.3873E-19  1.2663E+00 -1.9494E-03
  1.1746E+02  1.0638E-19  1.2678E+00 -1.9185E-03
  1.1810E+02  3.4292E-19  1.2693E+00 -2.2667E-03
  1.1874E+02  6.6408E-19  1.2709E+00 -2.8740E-03
  1.1938E+02  2.1571E-19  1.2728E+00 -3.6525E-03
  1.2002E+02 -5.0763E-19  1.2751E+00 -4.2407E-03
  1.2067E+02 -1.1465E-19  1.2778E+00 -4.8085E-03
  1.2131E+02 -2.1572E-19  1.2807E+00 -4.9012E-03
  1.2195E+02  1.4778E-19  1.2835E+00 -4.8053E-03
  1.2260E+02 -6.9183E-19  1.2867E+00 -4.8975E-03
  1.2328E+02  6.6535E-19  1.2901E+00 -4.8675E-03
  1.2395E+02  7.2440E-19  1.2933E+00 -4.8392E-03
  1.2462E+02 -8.5185E-20  1.2956E+00 -4.8330E-03
