# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 17:08:36 2019
# diag: nrgsummary, run(s): act, time window: 0-1506.8261(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt2_P/
# normalization: L_T,ions
#
#  t          G_tot       Q_tot       P_tot     
  4.4298E+01  3.8245E-18  1.6997E+00  4.1375E-03
  4.4526E+01  3.8338E-19  1.7150E+00  4.1262E-03
  4.4754E+01  3.9155E-19  1.7302E+00  4.1583E-03
  4.4983E+01 -9.5403E-19  1.7451E+00  4.2212E-03
  4.5211E+01 -1.8865E-18  1.7599E+00  4.3087E-03
  4.5439E+01 -2.7410E-19  1.7744E+00  4.3670E-03
  4.5661E+01  1.6281E-18  1.7883E+00  4.3215E-03
  4.5878E+01 -2.5672E-18  1.8018E+00  4.1550E-03
  4.6088E+01  3.4925E-18  1.8147E+00  3.9235E-03
  4.6294E+01 -1.6728E-18  1.8271E+00  3.6778E-03
  4.6499E+01 -1.6570E-18  1.8394E+00  3.4365E-03
  4.6705E+01 -7.5298E-20  1.8515E+00  3.1918E-03
  4.6911E+01 -4.2320E-19  1.8635E+00  2.9562E-03
  4.7116E+01  8.2782E-19  1.8752E+00  2.7585E-03
  4.7322E+01 -1.4454E-18  1.8867E+00  2.5792E-03
  4.7525E+01  4.0920E-18  1.8979E+00  2.3912E-03
  4.7720E+01  1.4898E-18  1.9084E+00  2.1985E-03
  4.7915E+01 -3.3920E-18  1.9186E+00  2.0760E-03
  4.8110E+01  1.4510E-18  1.9284E+00  2.0374E-03
  4.8306E+01 -2.6277E-18  1.9381E+00  2.0772E-03
  4.8501E+01 -6.5065E-19  1.9474E+00  2.1999E-03
  4.8696E+01 -1.6547E-18  1.9563E+00  2.3638E-03
  4.8892E+01  3.1223E-18  1.9648E+00  2.4892E-03
  4.9087E+01  7.4000E-19  1.9728E+00  2.4954E-03
  4.9282E+01 -1.0392E-18  1.9805E+00  2.4048E-03
  4.9477E+01  1.7653E-18  1.9876E+00  2.2868E-03
  4.9673E+01 -2.2904E-19  1.9943E+00  2.1556E-03
  4.9863E+01  5.1792E-20  2.0004E+00  2.0224E-03
  5.0048E+01  4.8210E-19  2.0058E+00  1.8432E-03
  5.0233E+01 -1.6172E-18  2.0109E+00  1.6488E-03
  5.0411E+01 -7.8470E-19  2.0153E+00  1.4950E-03
  5.0586E+01  4.6990E-18  2.0191E+00  1.3916E-03
  5.0761E+01 -1.6331E-18  2.0225E+00  1.3410E-03
  5.0928E+01 -3.9293E-18  2.0252E+00  1.3044E-03
  5.1094E+01  3.9400E-19  2.0275E+00  1.2709E-03
  5.1261E+01 -1.4029E-18  2.0293E+00  1.2769E-03
  5.1427E+01 -1.4077E-18  2.0308E+00  1.3626E-03
  5.1594E+01 -4.5115E-19  2.0320E+00  1.5222E-03
  5.1761E+01  1.5888E-18  2.0329E+00  1.7622E-03
  5.1927E+01  3.4340E-18  2.0333E+00  2.0992E-03
  5.2094E+01 -3.2673E-18  2.0334E+00  2.5168E-03
  5.2260E+01 -4.0970E-19  2.0331E+00  2.9295E-03
  5.2419E+01  1.1237E-18  2.0323E+00  3.1932E-03
  5.2577E+01 -1.1368E-18  2.0312E+00  3.3515E-03
  5.2735E+01 -1.7128E-19  2.0296E+00  3.4923E-03
  5.2893E+01  4.3237E-18  2.0278E+00  3.6480E-03
  5.3051E+01 -2.6398E-18  2.0257E+00  3.8925E-03
