# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:20:57 2019
# diag: zprofile, run(s): act, time window: 0-3243.0541(620 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xlms05/ITGa_NL/omt1/
# normalization: L_T,ions=5.5306m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
  1.2272E+00  0.0000E+00  3.1075E+01  3.1075E+01
  1.2763E+00  0.0000E+00  3.1076E+01  3.1076E+01
  1.3254E+00  0.0000E+00  3.1083E+01  3.1083E+01
  1.3744E+00  0.0000E+00  3.1094E+01  3.1094E+01
  1.4235E+00  0.0000E+00  3.1097E+01  3.1097E+01
  1.4726E+00  0.0000E+00  3.1106E+01  3.1106E+01
  1.5217E+00  0.0000E+00  3.1111E+01  3.1111E+01
  1.5708E+00  0.0000E+00  3.1114E+01  3.1114E+01
  1.6199E+00  0.0000E+00  3.1117E+01  3.1117E+01
  1.6690E+00  0.0000E+00  3.1118E+01  3.1118E+01
  1.7181E+00  0.0000E+00  3.1107E+01  3.1107E+01
  1.7671E+00  0.0000E+00  3.1099E+01  3.1099E+01
  1.8162E+00  0.0000E+00  3.1085E+01  3.1085E+01
  1.8653E+00  0.0000E+00  3.1065E+01  3.1065E+01
  1.9144E+00  0.0000E+00  3.1056E+01  3.1056E+01
  1.9635E+00  0.0000E+00  3.1037E+01  3.1037E+01
  2.0126E+00  0.0000E+00  3.1025E+01  3.1025E+01
  2.0617E+00  0.0000E+00  3.1013E+01  3.1013E+01
  2.1108E+00  0.0000E+00  3.1004E+01  3.1004E+01
  2.1598E+00  0.0000E+00  3.0995E+01  3.0995E+01
  2.2089E+00  0.0000E+00  3.0991E+01  3.0991E+01
  2.2580E+00  0.0000E+00  3.0988E+01  3.0988E+01
  2.3071E+00  0.0000E+00  3.0994E+01  3.0994E+01
  2.3562E+00  0.0000E+00  3.1000E+01  3.1000E+01
  2.4053E+00  0.0000E+00  3.1000E+01  3.1000E+01
  2.4544E+00  0.0000E+00  3.1011E+01  3.1011E+01
  2.5035E+00  0.0000E+00  3.1013E+01  3.1013E+01
  2.5525E+00  0.0000E+00  3.1023E+01  3.1023E+01
  2.6016E+00  0.0000E+00  3.1036E+01  3.1036E+01
  2.6507E+00  0.0000E+00  3.1039E+01  3.1039E+01
  2.6998E+00  0.0000E+00  3.1049E+01  3.1049E+01
  2.7489E+00  0.0000E+00  3.1060E+01  3.1060E+01
  2.7980E+00  0.0000E+00  3.1068E+01  3.1068E+01
  2.8471E+00  0.0000E+00  3.1080E+01  3.1080E+01
  2.8962E+00  0.0000E+00  3.1090E+01  3.1090E+01
  2.9452E+00  0.0000E+00  3.1091E+01  3.1091E+01
  2.9943E+00  0.0000E+00  3.1096E+01  3.1096E+01
  3.0434E+00  0.0000E+00  3.1091E+01  3.1091E+01
  3.0925E+00  0.0000E+00  3.1082E+01  3.1082E+01
