# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:38:38 2019
# diag: zprofile, run(s): act, time window: 0-1708.4394(316 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt1/
# normalization: L_ref=5.508m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
  1.2272E+00  0.0000E+00  2.3748E+00  2.3748E+00
  1.2763E+00  0.0000E+00  2.3725E+00  2.3725E+00
  1.3254E+00  0.0000E+00  2.3715E+00  2.3715E+00
  1.3744E+00  0.0000E+00  2.3773E+00  2.3773E+00
  1.4235E+00  0.0000E+00  2.3818E+00  2.3818E+00
  1.4726E+00  0.0000E+00  2.3910E+00  2.3910E+00
  1.5217E+00  0.0000E+00  2.3944E+00  2.3944E+00
  1.5708E+00  0.0000E+00  2.3960E+00  2.3960E+00
  1.6199E+00  0.0000E+00  2.3901E+00  2.3901E+00
  1.6690E+00  0.0000E+00  2.3865E+00  2.3865E+00
  1.7181E+00  0.0000E+00  2.3845E+00  2.3845E+00
  1.7671E+00  0.0000E+00  2.3807E+00  2.3807E+00
  1.8162E+00  0.0000E+00  2.3865E+00  2.3865E+00
  1.8653E+00  0.0000E+00  2.3864E+00  2.3864E+00
  1.9144E+00  0.0000E+00  2.3821E+00  2.3821E+00
  1.9635E+00  0.0000E+00  2.3769E+00  2.3769E+00
  2.0126E+00  0.0000E+00  2.3729E+00  2.3729E+00
  2.0617E+00  0.0000E+00  2.3682E+00  2.3682E+00
  2.1108E+00  0.0000E+00  2.3648E+00  2.3648E+00
  2.1598E+00  0.0000E+00  2.3625E+00  2.3625E+00
  2.2089E+00  0.0000E+00  2.3602E+00  2.3602E+00
  2.2580E+00  0.0000E+00  2.3591E+00  2.3591E+00
  2.3071E+00  0.0000E+00  2.3570E+00  2.3570E+00
  2.3562E+00  0.0000E+00  2.3558E+00  2.3558E+00
  2.4053E+00  0.0000E+00  2.3497E+00  2.3497E+00
  2.4544E+00  0.0000E+00  2.3452E+00  2.3452E+00
  2.5035E+00  0.0000E+00  2.3355E+00  2.3355E+00
  2.5525E+00  0.0000E+00  2.3312E+00  2.3312E+00
  2.6016E+00  0.0000E+00  2.3280E+00  2.3280E+00
  2.6507E+00  0.0000E+00  2.3285E+00  2.3285E+00
  2.6998E+00  0.0000E+00  2.3323E+00  2.3323E+00
  2.7489E+00  0.0000E+00  2.3319E+00  2.3319E+00
  2.7980E+00  0.0000E+00  2.3359E+00  2.3359E+00
  2.8471E+00  0.0000E+00  2.3382E+00  2.3382E+00
  2.8962E+00  0.0000E+00  2.3486E+00  2.3486E+00
  2.9452E+00  0.0000E+00  2.3607E+00  2.3607E+00
  2.9943E+00  0.0000E+00  2.3649E+00  2.3649E+00
  3.0434E+00  0.0000E+00  2.3696E+00  2.3696E+00
  3.0925E+00  0.0000E+00  2.3691E+00  2.3691E+00
