# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan 24 15:35:07 2019
# diag: zprofile, run(s): act, time window: 0-30(222 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt6/
# normalization: R_0
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
  1.2272E+00  0.0000E+00  2.5425E+02  2.5425E+02
  1.2763E+00  0.0000E+00  2.5420E+02  2.5420E+02
  1.3254E+00  0.0000E+00  2.5413E+02  2.5413E+02
  1.3744E+00  0.0000E+00  2.5406E+02  2.5406E+02
  1.4235E+00  0.0000E+00  2.5398E+02  2.5398E+02
  1.4726E+00  0.0000E+00  2.5389E+02  2.5389E+02
  1.5217E+00  0.0000E+00  2.5379E+02  2.5379E+02
  1.5708E+00  0.0000E+00  2.5368E+02  2.5368E+02
  1.6199E+00  0.0000E+00  2.5356E+02  2.5356E+02
  1.6690E+00  0.0000E+00  2.5344E+02  2.5344E+02
  1.7181E+00  0.0000E+00  2.5330E+02  2.5330E+02
  1.7671E+00  0.0000E+00  2.5316E+02  2.5316E+02
  1.8162E+00  0.0000E+00  2.5301E+02  2.5301E+02
  1.8653E+00  0.0000E+00  2.5285E+02  2.5285E+02
  1.9144E+00  0.0000E+00  2.5268E+02  2.5268E+02
  1.9635E+00  0.0000E+00  2.5250E+02  2.5250E+02
  2.0126E+00  0.0000E+00  2.5232E+02  2.5232E+02
  2.0617E+00  0.0000E+00  2.5213E+02  2.5213E+02
  2.1108E+00  0.0000E+00  2.5194E+02  2.5194E+02
  2.1598E+00  0.0000E+00  2.5174E+02  2.5174E+02
  2.2089E+00  0.0000E+00  2.5155E+02  2.5155E+02
  2.2580E+00  0.0000E+00  2.5135E+02  2.5135E+02
  2.3071E+00  0.0000E+00  2.5114E+02  2.5114E+02
  2.3562E+00  0.0000E+00  2.5094E+02  2.5094E+02
  2.4053E+00  0.0000E+00  2.5074E+02  2.5074E+02
  2.4544E+00  0.0000E+00  2.5054E+02  2.5054E+02
  2.5035E+00  0.0000E+00  2.5034E+02  2.5034E+02
  2.5525E+00  0.0000E+00  2.5015E+02  2.5015E+02
  2.6016E+00  0.0000E+00  2.4996E+02  2.4996E+02
  2.6507E+00  0.0000E+00  2.4978E+02  2.4978E+02
  2.6998E+00  0.0000E+00  2.4960E+02  2.4960E+02
  2.7489E+00  0.0000E+00  2.4943E+02  2.4943E+02
  2.7980E+00  0.0000E+00  2.4926E+02  2.4926E+02
  2.8471E+00  0.0000E+00  2.4910E+02  2.4910E+02
  2.8962E+00  0.0000E+00  2.4895E+02  2.4895E+02
  2.9452E+00  0.0000E+00  2.4881E+02  2.4881E+02
  2.9943E+00  0.0000E+00  2.4869E+02  2.4869E+02
  3.0434E+00  0.0000E+00  2.4857E+02  2.4857E+02
  3.0925E+00  0.0000E+00  2.4846E+02  2.4846E+02
