# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 16:07:47 2019
# diag: nrgsummary, run(s): act, time window: 0-1606.3965(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_P/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  3.4290E+01 -9.6053E-19  5.8509E-01 -1.9248E-03
  3.4585E+01  2.7854E-20  5.8694E-01 -1.6643E-03
  3.4881E+01 -7.0186E-20  5.8881E-01 -1.4125E-03
  3.5176E+01  3.1796E-20  5.9069E-01 -1.1382E-03
  3.5472E+01 -8.3161E-19  5.9257E-01 -8.8687E-04
  3.5754E+01 -5.0235E-19  5.9435E-01 -6.9462E-04
  3.6034E+01 -4.5541E-19  5.9610E-01 -5.2151E-04
  3.6314E+01  4.0945E-19  5.9776E-01 -3.3624E-04
  3.6585E+01 -2.0688E-19  5.9928E-01 -1.4705E-04
  3.6850E+01  1.1329E-19  6.0072E-01  3.4317E-05
  3.7116E+01  1.8923E-19  6.0214E-01  2.1671E-04
  3.7382E+01 -1.6230E-19  6.0359E-01  4.1380E-04
  3.7647E+01  4.5006E-20  6.0508E-01  5.9191E-04
  3.7913E+01  7.6923E-19  6.0665E-01  7.2838E-04
  3.8178E+01  6.1196E-19  6.0830E-01  8.2546E-04
  3.8444E+01 -2.6454E-19  6.1001E-01  9.0030E-04
  3.8709E+01 -6.4989E-19  6.1176E-01  9.5987E-04
  3.8975E+01  3.7454E-19  6.1353E-01  9.8729E-04
  3.9240E+01 -1.0553E-19  6.1528E-01  1.0005E-03
  3.9507E+01 -2.9106E-19  6.1698E-01  1.0157E-03
  3.9786E+01  9.2215E-20  6.1872E-01  1.0368E-03
  4.0065E+01 -6.4338E-19  6.2042E-01  1.0558E-03
  4.0344E+01  2.8856E-19  6.2208E-01  1.0660E-03
  4.0622E+01 -6.2293E-19  6.2367E-01  1.0742E-03
  4.0901E+01 -2.5293E-19  6.2522E-01  1.0845E-03
  4.1180E+01 -8.1639E-20  6.2674E-01  1.0828E-03
  4.1459E+01 -7.4037E-19  6.2827E-01  1.0735E-03
  4.1738E+01 -9.3785E-20  6.2984E-01  1.0925E-03
  4.2017E+01  1.3383E-19  6.3145E-01  1.1859E-03
  4.2295E+01 -1.7853E-19  6.3308E-01  1.3480E-03
  4.2574E+01  8.0364E-19  6.3471E-01  1.5398E-03
  4.2853E+01  3.0715E-19  6.3638E-01  1.7264E-03
  4.3132E+01 -1.2150E-19  6.3807E-01  1.9005E-03
  4.3411E+01 -5.7423E-19  6.3978E-01  2.0719E-03
  4.3689E+01 -9.1184E-20  6.4147E-01  2.2379E-03
  4.3968E+01  4.0789E-20  6.4313E-01  2.3707E-03
  4.4247E+01 -5.6240E-19  6.4477E-01  2.4621E-03
  4.4526E+01 -1.8272E-19  6.4639E-01  2.5278E-03
  4.4805E+01  3.6914E-20  6.4796E-01  2.5956E-03
  4.5083E+01  2.8539E-19  6.4949E-01  2.6756E-03
  4.5362E+01 -1.0566E-20  6.5098E-01  2.7733E-03
  4.5641E+01 -4.0005E-19  6.5243E-01  2.9087E-03
  4.5920E+01 -2.8752E-19  6.5385E-01  3.0609E-03
  4.6199E+01 -5.4672E-19  6.5523E-01  3.1852E-03
  4.6478E+01 -2.7511E-19  6.5657E-01  3.2873E-03
  4.6756E+01 -1.9196E-19  6.5788E-01  3.3569E-03
  4.7035E+01  5.5925E-19  6.5913E-01  3.3775E-03
  4.7314E+01 -8.9429E-20  6.6033E-01  3.3792E-03
  4.7593E+01  1.7175E-19  6.6143E-01  3.3864E-03
  4.7872E+01  1.5842E-19  6.6244E-01  3.3957E-03
  4.8150E+01 -2.3893E-19  6.6342E-01  3.4171E-03
  4.8429E+01 -6.7019E-20  6.6439E-01  3.4555E-03
  4.8708E+01 -3.8282E-19  6.6535E-01  3.4688E-03
  4.8987E+01  3.3852E-19  6.6629E-01  3.4241E-03
  4.9266E+01 -4.8031E-19  6.6719E-01  3.3285E-03
  4.9545E+01  2.6616E-19  6.6807E-01  3.2019E-03
  4.9823E+01  6.6836E-19  6.6893E-01  3.0733E-03
  5.0102E+01 -3.6270E-20  6.6975E-01  2.9791E-03
  5.0381E+01  4.9484E-19  6.7049E-01  2.9225E-03
  5.0660E+01  1.1415E-19  6.7117E-01  2.8962E-03
  5.0939E+01  3.5309E-19  6.7181E-01  2.9078E-03
  5.1217E+01 -7.5091E-20  6.7242E-01  2.9399E-03
  5.1496E+01  4.0676E-19  6.7300E-01  2.9602E-03
  5.1775E+01  3.7138E-19  6.7353E-01  2.9452E-03
  5.2054E+01 -4.7517E-19  6.7400E-01  2.9119E-03
  5.2333E+01 -3.0216E-19  6.7440E-01  2.8780E-03
  5.2611E+01 -1.5173E-19  6.7474E-01  2.8499E-03
  5.2890E+01  8.6900E-20  6.7503E-01  2.8202E-03
  5.3169E+01  1.8139E-19  6.7527E-01  2.7687E-03
  5.3451E+01  1.0245E-19  6.7543E-01  2.6657E-03
  5.3743E+01  4.5970E-19  6.7550E-01  2.4657E-03
  5.4036E+01  1.4676E-19  6.7545E-01  2.1484E-03
  5.4329E+01 -4.5483E-19  6.7529E-01  1.7563E-03
  5.4622E+01 -2.3708E-20  6.7503E-01  1.3679E-03
  5.4915E+01 -2.6711E-19  6.7467E-01  1.0364E-03
  5.5207E+01  3.6919E-19  6.7420E-01  7.8600E-04
  5.5500E+01  3.3604E-19  6.7363E-01  6.1738E-04
  5.5793E+01 -5.9938E-19  6.7294E-01  5.1545E-04
  5.6086E+01  5.1185E-19  6.7210E-01  4.5919E-04
  5.6378E+01  4.5831E-19  6.7109E-01  4.1107E-04
  5.6671E+01 -1.3875E-19  6.6994E-01  3.3399E-04
  5.6964E+01  1.2339E-19  6.6861E-01  2.3588E-04
  5.7257E+01 -7.7026E-19  6.6710E-01  1.4820E-04
  5.7549E+01 -3.5288E-19  6.6542E-01  9.2585E-05
  5.7842E+01 -2.3560E-19  6.6356E-01  6.0431E-05
  5.8135E+01  2.9029E-19  6.6152E-01  1.6822E-05
  5.8428E+01  5.2466E-19  6.5935E-01 -5.0115E-05
  5.8720E+01  2.6198E-19  6.5707E-01 -1.3052E-04
