# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 16:40:47 2019
# diag: nrgsummary, run(s): act, time window: 0-2000(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt1_P/
# normalization: L_ref=5.4832m
#
#  t          G_tot       Q_tot       P_tot     
  7.2837E+02 -7.1878E-20  9.6730E-01  1.0474E-03
  7.3687E+02 -5.1073E-20  9.6513E-01  1.9474E-03
  7.4537E+02 -3.9485E-20  9.7737E-01  2.1947E-03
  7.5387E+02 -9.5985E-19  9.8312E-01  6.9295E-03
  7.6237E+02  1.5046E-19  9.8624E-01  2.8718E-03
  7.7087E+02  5.5358E-19  9.8243E-01  5.1901E-03
  7.7937E+02 -5.5492E-20  9.8821E-01  7.0965E-04
  7.8787E+02 -6.8657E-19  9.9379E-01  1.0658E-03
  7.9637E+02 -8.1109E-20  9.9775E-01 -2.8600E-03
  8.0487E+02  2.4074E-19  9.8606E-01  2.7894E-03
  8.1336E+02  1.8175E-19  9.7073E-01 -2.7543E-03
  8.2186E+02  6.6939E-20  9.7836E-01  6.5317E-04
  8.3036E+02  2.2702E-19  9.7184E-01 -3.3911E-04
  8.3886E+02 -1.9711E-19  9.6543E-01  1.3019E-03
  8.4736E+02  8.2045E-20  9.8008E-01  4.1714E-03
  8.5586E+02  1.0447E-19  9.9889E-01 -1.6128E-03
  8.6436E+02 -5.8185E-19  1.0136E+00  7.6457E-04
  8.7286E+02  2.4444E-19  1.0241E+00 -1.4738E-03
  8.8136E+02  5.9951E-20  1.0028E+00 -7.9974E-04
  8.8986E+02 -4.6518E-19  9.8202E-01  6.7152E-03
  8.9835E+02 -9.8230E-20  9.8053E-01  5.2742E-03
  9.0685E+02 -1.9651E-19  9.7197E-01  4.6206E-03
  9.1535E+02  2.7614E-19  9.6642E-01  8.6540E-03
  9.2385E+02  3.1360E-19  9.6871E-01  3.7531E-03
  9.3235E+02 -2.4123E-19  9.8697E-01 -5.7657E-04
  9.4085E+02  1.8951E-19  1.0093E+00  5.0076E-03
  9.4935E+02 -1.6475E-19  1.0342E+00  5.7135E-03
  9.5785E+02  6.1165E-19  1.0465E+00 -3.3034E-03
  9.6635E+02  1.9695E-19  1.0449E+00 -1.7631E-03
  9.7485E+02  5.6653E-20  1.0339E+00 -1.4678E-04
  9.8334E+02  1.1040E-19  1.0015E+00  7.9871E-03
  9.9184E+02  5.6804E-19  9.9372E-01 -3.6994E-04
  1.0003E+03 -4.7401E-19  9.7307E-01  6.9413E-04
  1.0088E+03  3.6203E-19  9.7163E-01  5.7776E-03
  1.0173E+03  2.5961E-19  9.7390E-01  8.4811E-03
