# CREATED BY GENE DIAGNOSTICS TOOL on Sat Jun 23 12:42:11 2018
# diag: GAMDIAG, run(s): 0014, time window: 0-500(1332 steps), species: ions
# original data path: /ptmp/cmor/PoP/scanfiles0003/
# normalization: L_ref=5.4832m
#
# xind= 0, x/a= 0.70710677, q= 1.1018624
# Fit:    0.2807519,1.5524578,-0.03142423
# Analytic (Gao, Zhou/Yu): 0.32199362,-0.0062831846,1.9163414
#  t          Re[phi]     Im[phi]   
  0.0000E+00  9.7523E+00  0.0000E+00
  3.7580E-01  9.7271E+00  4.8431E-02
  7.5160E-01  9.6553E+00  9.6582E-02
  1.1274E+00  9.5446E+00  1.4395E-01
  1.5032E+00  9.4032E+00  1.9010E-01
  1.8790E+00  9.2399E+00  2.3479E-01
  2.2548E+00  9.0636E+00  2.7788E-01
  2.6306E+00  8.8819E+00  3.1928E-01
  3.0064E+00  8.7017E+00  3.5896E-01
  3.3822E+00  8.5281E+00  3.9695E-01
  3.7580E+00  8.3647E+00  4.3330E-01
  4.1338E+00  8.2133E+00  4.6809E-01
  4.5096E+00  8.0742E+00  5.0144E-01
  4.8854E+00  7.9465E+00  5.3347E-01
  5.2612E+00  7.8284E+00  5.6431E-01
  5.6370E+00  7.7176E+00  5.9406E-01
  6.0128E+00  7.6115E+00  6.2284E-01
  6.3886E+00  7.5078E+00  6.5071E-01
  6.7644E+00  7.4046E+00  6.7771E-01
  7.1402E+00  7.3004E+00  7.0387E-01
  7.5160E+00  7.1942E+00  7.2919E-01
  7.8918E+00  7.0855E+00  7.5365E-01
  8.2676E+00  6.9744E+00  7.7723E-01
  8.6434E+00  6.8614E+00  7.9989E-01
  9.0192E+00  6.7470E+00  8.2163E-01
  9.3950E+00  6.6323E+00  8.4242E-01
  9.7708E+00  6.5180E+00  8.6225E-01
  1.0147E+01  6.4053E+00  8.8114E-01
  1.0522E+01  6.2951E+00  8.9910E-01
  1.0898E+01  6.1881E+00  9.1616E-01
  1.1274E+01  6.0850E+00  9.3235E-01
