# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 13:20:57 2019
# diag: nrgsummary, run(s): act, time window: 0-3237.5594(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhiotas05/ITGa_NL/omt1/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  1.5650E+01 -1.2872E-19  7.2930E-02 -5.0435E-03
  1.5825E+01 -2.1327E-20  7.2693E-02 -5.1638E-03
  1.5999E+01  1.2871E-19  7.2383E-02 -5.2364E-03
  1.6174E+01  2.5103E-19  7.1973E-02 -5.3160E-03
  1.6349E+01  1.0501E-19  7.1516E-02 -5.3921E-03
  1.6524E+01  3.2719E-19  7.1096E-02 -5.4317E-03
  1.6699E+01  2.2886E-19  7.0824E-02 -5.5057E-03
  1.6873E+01 -4.7887E-20  7.0705E-02 -5.6664E-03
  1.7048E+01 -1.6074E-20  7.0648E-02 -5.8475E-03
  1.7231E+01 -1.1331E-19  7.0550E-02 -5.9321E-03
  1.7414E+01 -2.0096E-19  7.0358E-02 -5.8952E-03
  1.7598E+01  1.7065E-21  7.0084E-02 -5.8118E-03
  1.7781E+01  2.3353E-21  6.9748E-02 -5.7005E-03
  1.7965E+01  1.6266E-22  6.9334E-02 -5.5586E-03
  1.8148E+01  3.7170E-20  6.8897E-02 -5.4555E-03
  1.8332E+01 -1.4922E-19  6.8502E-02 -5.4412E-03
  1.8515E+01 -1.6724E-20  6.8108E-02 -5.4542E-03
  1.8699E+01  1.2328E-19  6.7608E-02 -5.4043E-03
  1.8882E+01  7.3668E-21  6.7021E-02 -5.2805E-03
  1.9074E+01  1.2874E-19  6.6446E-02 -5.1587E-03
  1.9267E+01  3.2978E-20  6.5971E-02 -5.0502E-03
  1.9460E+01 -2.0118E-20  6.5564E-02 -4.9108E-03
  1.9652E+01  5.2413E-20  6.5162E-02 -4.7890E-03
  1.9845E+01 -1.1079E-19  6.4758E-02 -4.7386E-03
  2.0038E+01  3.0017E-20  6.4363E-02 -4.7486E-03
  2.0230E+01 -6.6073E-20  6.3987E-02 -4.7744E-03
  2.0423E+01 -1.3900E-19  6.3681E-02 -4.7883E-03
  2.0616E+01 -1.5994E-20  6.3438E-02 -4.7862E-03
  2.0809E+01 -1.6651E-19  6.3196E-02 -4.8025E-03
  2.1001E+01 -1.6653E-20  6.2886E-02 -4.8474E-03
  2.1194E+01  5.6183E-20  6.2469E-02 -4.8931E-03
  2.1387E+01  1.8968E-19  6.1948E-02 -4.9202E-03
  2.1579E+01  2.9807E-20  6.1359E-02 -4.9261E-03
  2.1772E+01  8.8328E-20  6.0759E-02 -4.9117E-03
  2.1965E+01  3.5599E-20  6.0199E-02 -4.9016E-03
  2.2157E+01 -1.8050E-21  5.9697E-02 -4.9246E-03
  2.2350E+01 -7.1605E-20  5.9256E-02 -4.9855E-03
  2.2543E+01 -9.2368E-20  5.8838E-02 -5.0349E-03
  2.2736E+01  1.3960E-20  5.8413E-02 -5.0139E-03
  2.2938E+01 -6.7826E-21  5.7966E-02 -4.9357E-03
  2.3140E+01 -1.0429E-19  5.7546E-02 -4.8563E-03
  2.3343E+01 -5.9657E-20  5.7194E-02 -4.8222E-03
  2.3545E+01  1.7939E-20  5.6923E-02 -4.8660E-03
  2.3747E+01  8.3099E-20  5.6674E-02 -4.9730E-03
  2.3950E+01 -6.6266E-20  5.6376E-02 -5.0818E-03
  2.4152E+01  4.0698E-20  5.6039E-02 -5.1556E-03
  2.4354E+01  3.1611E-20  5.5704E-02 -5.1873E-03
  2.4557E+01 -1.1944E-19  5.5358E-02 -5.1813E-03
  2.4759E+01  4.1546E-20  5.4969E-02 -5.1482E-03
  2.4961E+01 -1.1124E-19  5.4540E-02 -5.1061E-03
  2.5164E+01 -1.0634E-19  5.4096E-02 -5.0773E-03
  2.5366E+01 -1.0291E-19  5.3643E-02 -5.0676E-03
  2.5568E+01 -1.1857E-20  5.3183E-02 -5.0628E-03
  2.5771E+01  3.8448E-20  5.2729E-02 -5.0588E-03
  2.5973E+01  6.1962E-20  5.2297E-02 -5.0645E-03
  2.6175E+01  2.1632E-21  5.1886E-02 -5.0817E-03
  2.6378E+01 -3.6827E-20  5.1478E-02 -5.1055E-03
  2.6580E+01  4.0127E-20  5.1082E-02 -5.1251E-03
  2.6782E+01 -6.7970E-21  5.0723E-02 -5.1420E-03
  2.6985E+01  4.8453E-20  5.0406E-02 -5.1567E-03
  2.7187E+01  3.0421E-20  5.0093E-02 -5.1652E-03
  2.7389E+01  6.1488E-20  4.9760E-02 -5.1786E-03
  2.7592E+01  1.4718E-20  4.9414E-02 -5.2107E-03
  2.7794E+01  5.8162E-20  4.9054E-02 -5.2629E-03
  2.7996E+01 -7.1744E-20  4.8678E-02 -5.3337E-03
  2.8199E+01  1.0703E-20  4.8304E-02 -5.4160E-03
  2.8401E+01  3.9397E-20  4.7949E-02 -5.4951E-03
  2.8603E+01 -1.8714E-20  4.7630E-02 -5.5613E-03
  2.8806E+01 -8.9128E-20  4.7342E-02 -5.6127E-03
  2.9008E+01 -4.3929E-20  4.7077E-02 -5.6501E-03
  2.9210E+01  1.2981E-19  4.6829E-02 -5.6793E-03
  2.9413E+01 -8.1103E-20  4.6591E-02 -5.7075E-03
  2.9615E+01  4.4438E-20  4.6370E-02 -5.7376E-03
  2.9817E+01  2.9047E-20  4.6162E-02 -5.7702E-03
  3.0020E+01 -3.2749E-20  4.5943E-02 -5.8072E-03
  3.0222E+01 -3.0467E-20  4.5695E-02 -5.8414E-03
  3.0424E+01  2.8026E-21  4.5420E-02 -5.8641E-03
  3.0627E+01  2.0954E-20  4.5137E-02 -5.8745E-03
  3.0829E+01 -4.3920E-20  4.4853E-02 -5.8753E-03
  3.1031E+01  9.3026E-20  4.4561E-02 -5.8674E-03
  3.1234E+01  5.2682E-20  4.4247E-02 -5.8493E-03
  3.1436E+01 -4.9900E-20  4.3912E-02 -5.8196E-03
  3.1638E+01 -7.8222E-20  4.3583E-02 -5.7819E-03
  3.1841E+01 -7.9521E-20  4.3273E-02 -5.7412E-03
  3.2043E+01  2.5054E-20  4.2972E-02 -5.6997E-03
  3.2245E+01  8.1023E-22  4.2660E-02 -5.6623E-03
  3.2448E+01 -2.5219E-21  4.2340E-02 -5.6321E-03
  3.2650E+01 -3.1779E-20  4.2020E-02 -5.6081E-03
  3.2852E+01  3.4485E-20  4.1710E-02 -5.5880E-03
  3.3055E+01  9.8724E-22  4.1422E-02 -5.5706E-03
  3.3257E+01 -2.7182E-20  4.1161E-02 -5.5534E-03
  3.3459E+01  9.4802E-20  4.0921E-02 -5.5340E-03
  3.3662E+01 -2.8395E-20  4.0694E-02 -5.5143E-03
  3.3864E+01 -4.1907E-20  4.0479E-02 -5.4993E-03
  3.4066E+01  7.9723E-21  4.0269E-02 -5.4884E-03
  3.4269E+01 -3.5811E-20  4.0047E-02 -5.4801E-03
  3.4473E+01  3.5789E-20  3.9807E-02 -5.4778E-03
  3.4685E+01 -5.3499E-20  3.9552E-02 -5.4827E-03
  3.4898E+01  6.5690E-20  3.9305E-02 -5.4938E-03
  3.5110E+01 -1.4715E-20  3.9068E-02 -5.5072E-03
  3.5323E+01  2.5164E-20  3.8835E-02 -5.5188E-03
  3.5535E+01 -5.3858E-20  3.8599E-02 -5.5271E-03
  3.5748E+01  3.0749E-20  3.8348E-02 -5.5302E-03
  3.5960E+01 -5.0787E-20  3.8081E-02 -5.5299E-03
  3.6172E+01 -6.3065E-21  3.7811E-02 -5.5307E-03
  3.6385E+01  3.3303E-20  3.7557E-02 -5.5347E-03
  3.6597E+01  7.2179E-20  3.7330E-02 -5.5388E-03
  3.6810E+01 -7.5013E-20  3.7124E-02 -5.5385E-03
  3.7022E+01  7.6356E-22  3.6930E-02 -5.5335E-03
  3.7235E+01  7.4220E-20  3.6745E-02 -5.5255E-03
  3.7447E+01  4.3341E-20  3.6563E-02 -5.5140E-03
  3.7660E+01 -9.1497E-22  3.6378E-02 -5.4996E-03
  3.7880E+01 -5.7175E-21  3.6180E-02 -5.4828E-03
  3.8103E+01 -1.1031E-20  3.5973E-02 -5.4638E-03
  3.8326E+01 -4.1776E-20  3.5763E-02 -5.4429E-03
  3.8549E+01 -1.5012E-20  3.5557E-02 -5.4193E-03
  3.8772E+01 -3.1958E-21  3.5368E-02 -5.3917E-03
  3.8995E+01 -2.5945E-20  3.5198E-02 -5.3549E-03
  3.9218E+01  5.0002E-20  3.5030E-02 -5.2997E-03
  3.9441E+01  9.5708E-21  3.4854E-02 -5.2235E-03
  3.9664E+01  5.8100E-20  3.4676E-02 -5.1318E-03
  3.9887E+01  5.8699E-21  3.4505E-02 -5.0310E-03
  4.0110E+01 -4.5773E-20  3.4346E-02 -4.9259E-03
  4.0333E+01 -2.5340E-20  3.4197E-02 -4.8147E-03
  4.0556E+01  4.1901E-20  3.4047E-02 -4.6921E-03
  4.0779E+01 -3.5683E-20  3.3892E-02 -4.5609E-03
  4.1003E+01 -1.5753E-21  3.3739E-02 -4.4278E-03
  4.1226E+01  1.3722E-21  3.3591E-02 -4.2956E-03
  4.1449E+01  2.5551E-20  3.3442E-02 -4.1682E-03
  4.1672E+01 -1.0182E-20  3.3283E-02 -4.0505E-03
  4.1895E+01  2.5805E-20  3.3113E-02 -3.9424E-03
  4.2118E+01  5.1726E-21  3.2937E-02 -3.8427E-03
  4.2342E+01 -5.5340E-21  3.2764E-02 -3.7487E-03
  4.2576E+01  2.5353E-20  3.2588E-02 -3.6546E-03
  4.2811E+01  3.8387E-20  3.2418E-02 -3.5630E-03
  4.3045E+01  3.4482E-20  3.2249E-02 -3.4717E-03
  4.3279E+01  1.5067E-20  3.2077E-02 -3.3823E-03
  4.3513E+01  1.0582E-20  3.1902E-02 -3.2987E-03
  4.3747E+01 -2.8709E-20  3.1716E-02 -3.2216E-03
  4.3982E+01  4.0130E-20  3.1518E-02 -3.1507E-03
  4.4216E+01  1.8739E-20  3.1315E-02 -3.0835E-03
  4.4450E+01 -5.5063E-20  3.1111E-02 -3.0168E-03
  4.4686E+01  3.1266E-20  3.0912E-02 -2.9480E-03
  4.4931E+01 -1.9531E-20  3.0707E-02 -2.8747E-03
  4.5177E+01 -5.0152E-21  3.0505E-02 -2.8029E-03
  4.5423E+01  3.3266E-20  3.0311E-02 -2.7362E-03
  4.5669E+01  1.1924E-21  3.0131E-02 -2.6759E-03
  4.5915E+01  1.5930E-20  2.9965E-02 -2.6168E-03
  4.6161E+01  2.9404E-20  2.9806E-02 -2.5526E-03
  4.6407E+01 -2.9007E-20  2.9650E-02 -2.4844E-03
  4.6653E+01 -1.1995E-20  2.9497E-02 -2.4166E-03
  4.6899E+01 -4.1800E-20  2.9348E-02 -2.3484E-03
  4.7145E+01 -2.5826E-20  2.9206E-02 -2.2789E-03
  4.7392E+01 -3.1617E-21  2.9062E-02 -2.2107E-03
  4.7650E+01  5.4333E-21  2.8906E-02 -2.1418E-03
  4.7909E+01  5.7864E-20  2.8749E-02 -2.0726E-03
  4.8167E+01 -6.7740E-21  2.8602E-02 -2.0035E-03
  4.8425E+01 -2.6980E-20  2.8465E-02 -1.9335E-03
  4.8683E+01 -1.8275E-20  2.8330E-02 -1.8615E-03
  4.8941E+01 -2.6470E-20  2.8196E-02 -1.7883E-03
  4.9200E+01  4.4415E-20  2.8071E-02 -1.7139E-03
  4.9458E+01 -1.8614E-20  2.7958E-02 -1.6367E-03
  4.9716E+01  2.6427E-20  2.7854E-02 -1.5579E-03
  4.9976E+01 -3.4001E-20  2.7757E-02 -1.4839E-03
  5.0247E+01  3.1985E-21  2.7663E-02 -1.4172E-03
  5.0518E+01 -3.3625E-20  2.7573E-02 -1.3575E-03
  5.0789E+01 -2.5511E-20  2.7482E-02 -1.2972E-03
  5.1060E+01 -2.5857E-20  2.7387E-02 -1.2345E-03
  5.1331E+01 -2.8939E-20  2.7282E-02 -1.1722E-03
  5.1603E+01  1.8885E-20  2.7168E-02 -1.1126E-03
  5.1874E+01 -2.8654E-20  2.7048E-02 -1.0580E-03
  5.2145E+01 -3.3255E-20  2.6932E-02 -1.0076E-03
  5.2416E+01  1.4602E-21  2.6828E-02 -9.5740E-04
  5.2688E+01 -3.1830E-20  2.6739E-02 -9.0479E-04
  5.2973E+01  6.5474E-21  2.6658E-02 -8.4736E-04
  5.3258E+01  5.0686E-20  2.6577E-02 -7.8830E-04
  5.3543E+01 -3.5572E-20  2.6487E-02 -7.2733E-04
  5.3827E+01  2.2810E-20  2.6392E-02 -6.6728E-04
  5.4112E+01 -3.9283E-20  2.6296E-02 -6.0950E-04
  5.4397E+01 -2.0735E-21  2.6196E-02 -5.5119E-04
  5.4681E+01 -2.1187E-20  2.6087E-02 -4.8849E-04
  5.4966E+01 -1.3871E-21  2.5979E-02 -4.2272E-04
  5.5251E+01 -4.7682E-20  2.5878E-02 -3.5726E-04
  5.5537E+01  2.1809E-20  2.5778E-02 -2.9455E-04
  5.5836E+01 -1.7002E-20  2.5675E-02 -2.3718E-04
  5.6135E+01 -8.6879E-21  2.5580E-02 -1.9126E-04
  5.6434E+01 -3.3066E-20  2.5489E-02 -1.5499E-04
  5.6733E+01  8.1745E-21  2.5402E-02 -1.2289E-04
  5.7032E+01  5.8072E-20  2.5321E-02 -9.2348E-05
  5.7331E+01 -1.5035E-20  2.5242E-02 -6.0462E-05
  5.7630E+01 -2.8526E-20  2.5154E-02 -2.5653E-05
  5.7928E+01  3.5601E-20  2.5065E-02  1.4020E-05
  5.8227E+01 -3.2231E-20  2.4981E-02  6.0277E-05
  5.8528E+01 -3.7245E-20  2.4904E-02  1.0899E-04
  5.8842E+01 -2.6960E-21  2.4818E-02  1.5199E-04
  5.9156E+01  3.8008E-20  2.4720E-02  1.8596E-04
  5.9469E+01  3.8857E-20  2.4619E-02  2.1467E-04
  5.9783E+01  6.9239E-21  2.4526E-02  2.4120E-04
  6.0097E+01 -2.6445E-20  2.4441E-02  2.6946E-04
  6.0411E+01  1.9944E-20  2.4363E-02  3.0451E-04
  6.0725E+01  3.3897E-20  2.4294E-02  3.4449E-04
  6.1039E+01  1.6623E-20  2.4223E-02  3.8123E-04
  6.1353E+01  3.0043E-20  2.4147E-02  4.1075E-04
  6.1668E+01  4.7797E-20  2.4075E-02  4.3408E-04
  6.1998E+01 -2.5199E-20  2.4004E-02  4.5516E-04
  6.2327E+01 -1.3197E-20  2.3939E-02  4.7223E-04
  6.2657E+01 -1.0444E-20  2.3875E-02  4.8386E-04
  6.2987E+01 -3.3983E-21  2.3813E-02  4.9317E-04
  6.3296E+01  9.1508E-22  2.6907E-02  4.0432E-03
  6.3455E+01 -1.7884E-20  2.4662E-02  1.6278E-03
  6.3614E+01 -6.9116E-20  2.4002E-02  9.1771E-04
  6.3772E+01  3.1688E-20  2.3779E-02  6.1668E-04
  6.3931E+01 -2.1201E-21  2.3690E-02  5.4802E-04
  6.4090E+01 -3.8736E-21  2.3650E-02  5.3380E-04
  6.4248E+01 -1.8241E-20  2.3616E-02  5.3499E-04
  6.4407E+01  3.1251E-20  2.3583E-02  5.3733E-04
  6.4566E+01  9.1698E-21  2.3542E-02  5.4697E-04
